consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word21,word22,word23,rt_21,rt_22,rt_23,word24,word25,rt_24,rt_25,word26,word27,word28,word29,word30,word31,word32,word33,rt_26,rt_27,rt_28,rt_29,rt_30,rt_31,rt_32,rt_33
0,0,0,0,1,Consent1.png,A2G7DTL156PTKA,001,2020-07-27_14h22.40.792,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A2G7DTL156PTKA,001,2020-07-27_14h22.40.792,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2G7DTL156PTKA,001,2020-07-27_14h22.40.792,Fluency_Task,2020.1.2,Win32,60,space,1.175805,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2G7DTL156PTKA,001,2020-07-27_14h22.40.792,Fluency_Task,2020.1.2,Win32,60,space,9.535145,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2G7DTL156PTKA,001,2020-07-27_14h22.40.792,Fluency_Task,2020.1.2,Win32,60,space,7.90582,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2G7DTL156PTKA,001,2020-07-27_14h22.40.792,Fluency_Task,2020.1.2,Win32,60,space,23.745105,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2G7DTL156PTKA,001,2020-07-27_14h22.40.792,Fluency_Task,2020.1.2,Win32,60,space,10.90646,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2G7DTL156PTKA,001,2020-07-27_14h22.40.792,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,4.19491,concierge,computers,clerks,desk,room keys,elevators,luggage carousels,bellhops,doormen,security guards,plants,seats,counter,printer,monitors,security cameras,carpet,office chair,lamps,computer mouse,84,80,76,74,68,66,62,60,58,55,48,45,43,33,30,27,21,15,8,5,2,2.73172,I imagined a hotel lobby.,j,3.192955,0,0,0,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2G7DTL156PTKA,001,2020-07-27_14h22.40.792,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,start,sob,sad,sandwich,sand,star,sun,spider,spa,salon,stay,strawberry,straw,saddle,stray,strand,stand,short,share,shun,87,86,85,83,82,79,77,72,69,68,63,60,58,43,38,32,28,25,22,19,2,3.68497,Words just came to mind randomly.,p,1.61644,0,1,1,5,1,Words that start with S,Phonemic,p,school,stool,stun,15,11,7,,,,,,,,,,,,,,,,,,,,
,,,,,,A2G7DTL156PTKA,001,2020-07-27_14h22.40.792,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fire,fireplace,forest,forefathers,father,fore,few,fray,forge,feather,flew,flies,ferry,fairy,fairytale,fart,far,fair,fare,flurry,87,83,82,76,75,74,70,68,65,60,47,42,34,33,24,23,22,20,18,7,2,1.12118,Words just popped into my mind.,p,1.39965,0,2,2,3,1,Words that start with F,Phonemic,p,furry,fur,,4,2,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2G7DTL156PTKA,001,2020-07-27_14h22.40.792,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,baseball,hockey,football,soccer,balls,goals,points,score,teams,tennis,coach,train,league,championship,trophy,bowling,winner,loser,stadium,fans,85,84,82,80,80,79,76,75,75,72,71,68,63,60,58,50,43,42,36,33,1,0.935425,Words just popped into my mind.,j,5.957345,0,3,3,8,1,Sports,Semantic,j,player,fouls,referee,29,19,12,fight,competition,9,6,,,,,,,,,,,,,,,,
,,,,,,A2G7DTL156PTKA,001,2020-07-27_14h22.40.792,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,tools,shelves,washing machine,dryer,boxes,seasonal decoration,camping gear,bicycle,sporting goods,tent,hammer,screwdriver,wrench,toolbench,car keys,surfboard,snowboard,skis,dog crate,87,85,80,77,74,69,63,61,59,57,54,49,48,45,42,37,30,29,27,23,1,0.58586,I imagined my own garage and what's in there.,j,1.146565,0,4,4,0,1,Things in a Garage,Spatial,j,pantry,detergent,soil,21,17,13,gardening tools,insect spray,11,7,,,,,,,,,,,,,,,,
,,,,,,A2G7DTL156PTKA,001,2020-07-27_14h22.40.792,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,anteater,ant,aunt,archery,arch,area,asparagus,animal,alligator,abuse,ambulatory,ambulance,ample,advanced,aware,abashed,abrupt,anchor,away,88,86,85,84,81,80,79,71,67,58,56,48,46,44,36,31,26,22,19,17,2,0.969205,Words just popped into my mind.,j,0.83773,0,5,5,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2G7DTL156PTKA,001,2020-07-27_14h22.40.792,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,giraffe,bear,cat,dog,mouse,horse,cow,chicken,goose,pig,sheep,goat,ostrich,lion,tiger,monkey,orangutan,gorilla,chimpanzee,blue jay,86,86,85,84,83,79,79,77,75,74,71,70,59,58,56,54,52,50,47,41,1,13.13307,I thought about animals found in various locations such as zoos or farms. ,j,56.74845,0,6,6,6,1,Animals,Semantic,j,robin,squirrel,wolf,40,30,24,fox,possum,22,21,raccoon,deer,moose,elk,boar,rat,hawk,eagle,17,16,14,13,11,7,2,1
,,,,,,A2G7DTL156PTKA,001,2020-07-27_14h22.40.792,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,staff assistant,business administrator,scientist,engineer,researcher,ceo,cfo,coo,postal worker,teacher,firefighter,police officer,cashier,bank teller,law clerk,lawyer,judge,district attorney,legal assistant,supervisor,85,81,80,79,77,76,74,74,66,65,63,60,59,55,52,51,48,43,39,36,2,5.715755,I started off with the jobs at my own company and then branched out to more commonly known jobs. ,p,17.070385,0,7,7,7,1,Occupations,Semantic,p,manager,business manager,office manager,35,30,28,programmer,principal,25,7,professor,,,,,,,,3,,,,,,,
,,,,,,A2G7DTL156PTKA,001,2020-07-27_14h22.40.792,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,waiter,seating host,table,dishes,plates,utensils,glasses,cook,kitchen,trays,chairs,tablecloth,food,menu,togo boxes,aprons,money,diners,,,82,78,77,75,75,73,72,68,67,65,63,58,55,42,38,17,15,13,,,3,1.47664,I imagined being in a restaurant and what I would normally see there.,p,1.059925,0,8,8,1,1,Things in a Restaurant,Spatial,p,,,,,,,,,,,,,,,,,,,,,,,,,,
