consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word12,rt_12
0,0,0,0,1,Consent1.png,A3EIYYBR3OL23D,001,2020-07-27_16h47.26.889,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3EIYYBR3OL23D,001,2020-07-27_16h47.26.889,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3EIYYBR3OL23D,001,2020-07-27_16h47.26.889,Fluency_Task,2020.1.2,Win32,60,space,2.71013,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3EIYYBR3OL23D,001,2020-07-27_16h47.26.889,Fluency_Task,2020.1.2,Win32,60,space,1.67755,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3EIYYBR3OL23D,001,2020-07-27_16h47.26.889,Fluency_Task,2020.1.2,Win32,60,space,17.612725,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3EIYYBR3OL23D,001,2020-07-27_16h47.26.889,Fluency_Task,2020.1.2,Win32,60,space,7.813645,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3EIYYBR3OL23D,001,2020-07-27_16h47.26.889,Fluency_Task,2020.1.2,Win32,60,space,1.6537,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3EIYYBR3OL23D,001,2020-07-27_16h47.26.889,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,89.493535,fan,file,fly,fule,fever,five,fuel,four,found,from,flim,75,66,64,56,54,47,34,24,20,18,10,7,16.08828,fan  is a production of air. all humanbeing using fan,p,2.49712,0,0,0,3,1,Words that start with F,Phonemic,p,,
,,,,,,A3EIYYBR3OL23D,001,2020-07-27_16h47.26.889,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,aeroplane,air,ant,arm,,,,,,,85,78,73,59,48,,,,,,,5,8.640955,aeroplane using to travelling.,j,2.372055,0,1,1,4,1,Words that start with A,Phonemic,j,,
,,,,,,A3EIYYBR3OL23D,001,2020-07-27_16h47.26.889,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,all our food items take from restaurant,,,,,,,,,,,14,10,,,,,,,,,,4,4.344075,very nice,p,1.55259,0,2,2,1,1,Things in a Restaurant,Spatial,p,,
,,,,,,A3EIYYBR3OL23D,001,2020-07-27_16h47.26.889,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,small,sperms,sweet,sun,sunflower,sun glasses,squard,sword,summer,star,symphol,80,48,45,43,40,37,29,21,18,16,7,1,4.816835,i think very easy i like it.,p,1.527375,0,3,3,5,1,Words that start with S,Phonemic,p,shark,5
,,,,,,A3EIYYBR3OL23D,001,2020-07-27_16h47.26.889,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,pharma company it a ery important every human need one,,,,,,,,,,,20,,,,,,,,,,,2,3.411255,avarage,p,1.41845,0,4,4,7,1,Occupations,Semantic,p,,
,,,,,,A3EIYYBR3OL23D,001,2020-07-27_16h47.26.889,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cat is a very cut animal and every human very likely animal,,,,,,,,,,,39,,,,,,,,,,,1,2.971105,well,j,1.720345,0,5,5,6,1,Animals,Semantic,j,,
,,,,,,A3EIYYBR3OL23D,001,2020-07-27_16h47.26.889,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,hotel  look very good and also very favorate food items here,,,,,,,,,,,44,,,,,,,,,,,5,1.97448,good,j,1.571615,0,6,6,2,1,Things in a Hotel Lobby,Spatial,j,,
,,,,,,A3EIYYBR3OL23D,001,2020-07-27_16h47.26.889,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.967875,good,j,1.63511,0,7,7,0,1,Things in a Garage,Spatial,j,,
,,,,,,A3EIYYBR3OL23D,001,2020-07-27_16h47.26.889,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2.16979,god,j,3.448105,0,8,8,8,1,Sports,Semantic,j,,
