consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word14,rt_14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24
0,0,0,0,1,Consent1.png,AF3DRX40CNHZR,001,2020-07-27_19h00.38.969,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,AF3DRX40CNHZR,001,2020-07-27_19h00.38.969,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AF3DRX40CNHZR,001,2020-07-27_19h00.38.969,Fluency_Task,2020.1.2,Win32,60,space,1.728855,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AF3DRX40CNHZR,001,2020-07-27_19h00.38.969,Fluency_Task,2020.1.2,Win32,60,space,16.49613,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AF3DRX40CNHZR,001,2020-07-27_19h00.38.969,Fluency_Task,2020.1.2,Win32,60,space,35.89532,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AF3DRX40CNHZR,001,2020-07-27_19h00.38.969,Fluency_Task,2020.1.2,Win32,60,space,38.56379,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AF3DRX40CNHZR,001,2020-07-27_19h00.38.969,Fluency_Task,2020.1.2,Win32,60,space,27.239075,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AF3DRX40CNHZR,001,2020-07-27_19h00.38.969,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,8.362725,doctor,lawyer,business owner,waitress,veterinarian,chiropractor,grocery store manager,steel worker,design engineer,computer programmer,zoologist,podiatrist,theme park worker,84,81,76,71,62,58,49,38,34,22,18,12,4,4,4.272095,I thought about surrounding businesses and places of work close to me,p,3.91383,0,0,0,7,1,Occupations,Semantic,p,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AF3DRX40CNHZR,001,2020-07-27_19h00.38.969,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,football,basketball,tennis,soccer,lacrosse,baseball,swimming,bowling,badminton,skiing,,,,87,84,82,81,79,71,61,58,35,6,,,,5,3.70771,I thought about what sports I have seen on Tv.,j,1.592895,0,1,1,8,1,Sports,Semantic,j,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AF3DRX40CNHZR,001,2020-07-27_19h00.38.969,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,trash can,oil,gas can,rake,leaf blower,snow blower,shovel,nails,screws,toolbox,garden tools,hose,86,83,79,77,65,63,60,58,48,46,42,15,9,3,0.865455,I thought about what items were in my personal garage.,j,1.54323,0,2,2,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AF3DRX40CNHZR,001,2020-07-27_19h00.38.969,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,artichoke,antipasta salad,aardvark,animal,anteater,antelope,automobile,antivirus,age,,,,77,74,66,47,46,40,29,17,15,3,,,,5,6.51066,"I thought about animals, and then whatever else popped into my head.",j,1.974395,0,3,3,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,,,,,,,,,,,
