consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word10,rt_10,word11,word12,word13,word14,word15,word16,word17,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17
0,0,0,0,1,Consent1.png,AY9UWGHEE2P04,001,2020-07-27_17h44.25.698,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,AY9UWGHEE2P04,001,2020-07-27_17h44.25.698,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AY9UWGHEE2P04,001,2020-07-27_17h44.25.698,Fluency_Task,2020.1.2,Win32,60,space,1.582205,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AY9UWGHEE2P04,001,2020-07-27_17h44.25.698,Fluency_Task,2020.1.2,Win32,60,space,103.24626,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AY9UWGHEE2P04,001,2020-07-27_17h44.25.698,Fluency_Task,2020.1.2,Win32,60,space,9.947305,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AY9UWGHEE2P04,001,2020-07-27_17h44.25.698,Fluency_Task,2020.1.2,Win32,60,space,20.81872,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AY9UWGHEE2P04,001,2020-07-27_17h44.25.698,Fluency_Task,2020.1.2,Win32,60,space,12.470235,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AY9UWGHEE2P04,001,2020-07-27_17h44.25.698,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,2,12.210375,apple,acre,application,artist,acorn,accomplice,aptitude,ally,alps,85,79,73,61,56,49,34,12,7,5,5.4575,I just thought of random words from memory. I went of the alphabet too.,j,2.20727,0,0,0,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,,,,,
,,,,,,AY9UWGHEE2P04,001,2020-07-27_17h44.25.698,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,lawn mower,tools,fridge,storage,supplies,,,,83,76,72,54,45,22,,,,6,2.942135,I tried to think of typical items in a garage from memory. I thought of my friend's garage.,j,1.69327,0,1,1,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,
,,,,,,AY9UWGHEE2P04,001,2020-07-27_17h44.25.698,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,doctor,teacher,librarian,engineer,scientist,pilot,artist,mechanic,contractor,86,84,80,78,75,68,62,56,44,5,3.99885,I tried to think of a variety of occupations from memory. General occupations.,p,1.46734,0,2,2,7,1,Occupations,Semantic,p,cashier,2,,,,,,,,,,,,,,
,,,,,,AY9UWGHEE2P04,001,2020-07-27_17h44.25.698,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,failure,front,food,fair,fiend,fond,farce,far,farm,87,84,83,81,77,74,71,68,62,3,2.184395,I just thought of many words from memory. I went off the alphabet as well.,p,1.80621,0,3,3,3,1,Words that start with F,Phonemic,p,free,59,from,fleece,flow,flare,female,foe,fit,56,42,38,35,14,10,3
,,,,,,AY9UWGHEE2P04,001,2020-07-27_17h44.25.698,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,snake,still,slow,slap,squire,scoop,snow,soup,spud,86,84,82,80,73,70,64,60,56,4,2.804055,I just thought of random words from memory. I went by the alphabet too.,p,1.183605,0,4,4,5,1,Words that start with S,Phonemic,p,sod,44,some,sardonic,south,sarcastic,super,spin,speak,39,34,29,24,17,13,9
,,,,,,AY9UWGHEE2P04,001,2020-07-27_17h44.25.698,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,hockey,soccer,football,baseball,basketball,ultimate frisbee,rugby,wrestling,racing,83,80,76,71,68,32,26,21,11,4,1.17925,I just thought of sports I watch and then popular sports and from memory.,j,1.28887,0,5,5,8,1,Sports,Semantic,j,,,,,,,,,,,,,,,,
,,,,,,AY9UWGHEE2P04,001,2020-07-27_17h44.25.698,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,food,utensils,plates,tables,seats,drinks,chef,waiter,menu,87,82,79,78,76,67,59,57,55,4,1.882945,I thought of the times I have gone out to restaurants and my experiences from memory.,p,1.12405,0,6,6,1,1,Things in a Restaurant,Spatial,p,table cloth,45,napkins,music,bathroom,,,,,44,36,21,,,,
