consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word2,word3
0,0,0,0,1,Consent1.png,A9BMO09FR4QAM,001,2020-07-27_18h44.10.741,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A9BMO09FR4QAM,001,2020-07-27_18h44.10.741,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A9BMO09FR4QAM,001,2020-07-27_18h44.10.741,Fluency_Task,2020.1.2,Win32,60,space,15.053,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A9BMO09FR4QAM,001,2020-07-27_18h44.10.741,Fluency_Task,2020.1.2,Win32,60,space,0.893,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A9BMO09FR4QAM,001,2020-07-27_18h44.10.741,Fluency_Task,2020.1.2,Win32,60,space,4.958,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A9BMO09FR4QAM,001,2020-07-27_18h44.10.741,Fluency_Task,2020.1.2,Win32,60,space,0.18,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A9BMO09FR4QAM,001,2020-07-27_18h44.10.741,Fluency_Task,2020.1.2,Win32,60,space,0.208,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A9BMO09FR4QAM,001,2020-07-27_18h44.10.741,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,1,31.768,animals,70,64,49,10,9,9,8,8,7,7,7,4.27,,j,2.398,0,0,0,6,1,Animals,Semantic,j,,
,,,,,,A9BMO09FR4QAM,001,2020-07-27_18h44.10.741,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,6,12.353,,j,4.901,0,1,1,0,1,Things in a Garage,Spatial,j,,
,,,,,,A9BMO09FR4QAM,001,2020-07-27_18h44.10.741,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,star,54,46,25,,,,,,,,6,6.504,,p,2.562,0,2,2,5,1,Words that start with S,Phonemic,p,super,some
,,,,,,A9BMO09FR4QAM,001,2020-07-27_18h44.10.741,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,checking in,38,25,14,,,,,,,,7,3.163,,j,1.978,0,3,3,2,1,Things in a Hotel Lobby,Spatial,j,checking out,waiting area
,,,,,,A9BMO09FR4QAM,001,2020-07-27_18h44.10.741,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,arrange,91,44,35,,,,,,,,6,3.879,,j,1.881,0,4,4,4,1,Words that start with A,Phonemic,j,apple,
,,,,,,A9BMO09FR4QAM,001,2020-07-27_18h44.10.741,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fine,79,75,67,,,,,,,,5,3.415,,p,1.637,0,5,5,3,1,Words that start with F,Phonemic,p,fill,flower
,,,,,,A9BMO09FR4QAM,001,2020-07-27_18h44.10.741,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,occpupations,75,,,,,,,,,,6,25.979,,p,1.654,0,6,6,7,1,Occupations,Semantic,p,,
,,,,,,A9BMO09FR4QAM,001,2020-07-27_18h44.10.741,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,restraurant,91,53,,,,,,,,,5,10.321,,p,1.293,0,7,7,1,1,Things in a Restaurant,Spatial,p,,
,,,,,,A9BMO09FR4QAM,001,2020-07-27_18h44.10.741,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sports,90,81,,,,,,,,,5,28.876,,j,1.806,0,8,8,8,1,Sports,Semantic,j,,
