consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26,rt_27,rt_28,rt_29,rt_30,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word31,rt_31,word32,word33,word34,word35,word36,rt_32,rt_33,rt_34,rt_35,rt_36
0,0,0,0,1,Consent1.png,AWKJJC3QFU9VW,001,2020-07-23_13h45.28.862,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,AWKJJC3QFU9VW,001,2020-07-23_13h45.28.862,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AWKJJC3QFU9VW,001,2020-07-23_13h45.28.862,Fluency_Task,2020.1.2,Win32,60,space,1.043025,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AWKJJC3QFU9VW,001,2020-07-23_13h45.28.862,Fluency_Task,2020.1.2,Win32,60,space,10.820135,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AWKJJC3QFU9VW,001,2020-07-23_13h45.28.862,Fluency_Task,2020.1.2,Win32,60,space,9.092145,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AWKJJC3QFU9VW,001,2020-07-23_13h45.28.862,Fluency_Task,2020.1.2,Win32,60,space,15.39514,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AWKJJC3QFU9VW,001,2020-07-23_13h45.28.862,Fluency_Task,2020.1.2,Win32,60,space,17.57963,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AWKJJC3QFU9VW,001,2020-07-23_13h45.28.862,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,5.43814,friend,family,fiend,fly,forward,flip,fry,fright,flu,flute,flutter,freak,finger,fourth,four,fine,fear,furl,flower,flank,frown,flay,flow,froth,fine,find,finely,fringe,flight,fly,87,86,84,78,76,73,72,69,67,64,63,56,54,52,50,47,41,39,36,33,30,25,23,19,17,16,14,9,5,1,2,3.001745,I typed f first and then waited till something came to my mind.,p,5.129055,0,0,0,3,1,Words that start with F,Phonemic,p,,,,,,,,,,,,
,,,,,,AWKJJC3QFU9VW,001,2020-07-23_13h45.28.862,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,bed ,door,closet,window,blanket,chair,vanity,dresser,carpet,curtains,night stand,lamp,makeup,clothe,pillows,sheets,cdy,candy,books,chargers,humidfier,clock,drink,medicine,book,,,,,,84,81,77,75,73,70,67,64,62,59,53,50,46,45,39,37,35,33,27,25,17,14,11,4,2,,,,,,2,0.95275,I imagined my own bedroom and what is in it.,p,2.01301,0,1,1,1,1,Things in a bedroom,Spatial,p,,,,,,,,,,,,
,,,,,,AWKJJC3QFU9VW,001,2020-07-23_13h45.28.862,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,oven,stove,refigerator,table,island,knives,utensils,bowls,plates,cups,fruit,flour,sugar,oil,sink,cabinents,drawers,counters,rug,cutting boards,chairs,draining rack,candel,candle,tissues,pots,pans,sheet tray,foil,fo,88,86,84,81,80,77,75,73,72,70,67,64,62,58,55,51,49,48,42,37,35,28,25,24,18,14,13,10,8,3,2,0.32999,I remembered what is in my kitchen,j,1.647745,0,2,2,2,1,Things in a kitchen,Spatial,j,food,2,,,,,,,,,,
,,,,,,AWKJJC3QFU9VW,001,2020-07-23_13h45.28.862,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,small,smile,straight,strive,store,star,stare,super,spine,spin,snoop,splash,spray,sugar,sun,sunshine,sulfer,surprise,still,style,stump,stowe,shope,shop,shoppe,share,snow,sniff,smell,slow,88,87,83,82,80,79,77,75,74,72,70,65,63,60,59,57,53,49,47,46,41,38,36,34,32,30,28,26,25,22,2,1.205185,I just typed what came to mind naturally. A few times one word reminded me of the next word.,p,1.31342,0,3,3,5,1,Words that start with S,Phonemic,p,stall,18,smirk,slur,slight,swift,swing,13,10,6,3,0
,,,,,,AWKJJC3QFU9VW,001,2020-07-23_13h45.28.862,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,job,police officer,teacher,doctor,lawyer,dentist,palentologist,marinebiologist,driver,clerk,accountant,it tech,principal,daycare owner,cook,chef,prep cook,hostess,babysitter,customer service rep,personal training,,,,,,,,,,87,83,81,79,77,75,69,65,62,59,57,51,45,41,39,38,30,28,23,15,9,,,,,,,,,,4,0.32231,"I first thought of random things, then I though of jobs I wanted to do as a kid. Then I thought of jobs I have had.",p,1.247555,0,4,4,7,1,Occupations,Semantic,p,,,,,,,,,,,,
