consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word15,word16,rt_15,rt_16,word17,word18,word19,word20,word21,rt_17,rt_18,rt_19,rt_20,rt_21
0,0,0,0,1,Consent1.png,A3GVUYY3TWRPZT,001,2020-07-27_16h26.51.743,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3GVUYY3TWRPZT,001,2020-07-27_16h26.51.743,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3GVUYY3TWRPZT,001,2020-07-27_16h26.51.743,Fluency_Task,2020.1.2,Win32,60,space,1.758,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3GVUYY3TWRPZT,001,2020-07-27_16h26.51.743,Fluency_Task,2020.1.2,Win32,60,space,28.83,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3GVUYY3TWRPZT,001,2020-07-27_16h26.51.743,Fluency_Task,2020.1.2,Win32,60,space,13.151,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3GVUYY3TWRPZT,001,2020-07-27_16h26.51.743,Fluency_Task,2020.1.2,Win32,60,space,30.632,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3GVUYY3TWRPZT,001,2020-07-27_16h26.51.743,Fluency_Task,2020.1.2,Win32,60,space,18.717,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3GVUYY3TWRPZT,001,2020-07-27_16h26.51.743,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,8.689,basketball,football,soccer,baseball,wrestling,tennis,hockey,bowling,swimming,cycling,softball,curling,volleyball,dodgeball,83,80,76,75,70,68,58,52,48,39,31,22,14,8,4,3.612,I just thought of the main sports that air on tv and then  started thinking of the Olympics.,j,3.746,0,0,0,8,1,Sports,Semantic,j,,,,,,,,,,,,,,
,,,,,,A3GVUYY3TWRPZT,001,2020-07-27_16h26.51.743,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,air,aerosol,apricot,alligator,ape,arm,ascot,appetizer,aardvark,ant,,,,87,85,68,55,50,49,45,26,13,5,2,,,,5,2.997,Just thought of the first words that popped into my head that began with A.,j,1.234,0,1,1,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,,,
,,,,,,A3GVUYY3TWRPZT,001,2020-07-27_16h26.51.743,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,hammer,fridge,gas can,water hose,weight bench,radio,oil,snow shovel,decorations,boxes,drill,wrench,screwdriver,87,84,82,78,70,64,62,58,48,36,32,25,19,15,3,2.099,I thought of all of the things I have in my garage.,j,1.308,0,2,2,0,1,Things in a Garage,Spatial,j,rags,dog,6,2,,,,,,,,,,
