Category,Type,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,fixation.started,fixation.stopped,timer.started,timer.stopped,instruct_text.started,instruct_text.stopped,letter_text.started,letter_text.stopped,screen_text.started,screen_text.stopped,list_text1.started,list_text1.stopped,list_text2.started,list_text2.stopped,list_text3.started,list_text3.stopped,list_text4.started,list_text4.stopped,list_text5.started,list_text5.stopped,word1,word2,word3,word4,word5,word6,word7,word8,word9,fixation_1.started,fixation_1.stopped,difficulty_question.started,difficulty_question.stopped,options.started,options.stopped,anchor_1.started,anchor_1.stopped,anchor_2.started,anchor_2.stopped,key_resp_diff.keys,key_resp_diff.rt,key_resp_diff.started,key_resp_diff.stopped,text_other.started,text_other.stopped,text.started,text.stopped,Strategy_resp,participant,session,date,expName,psychopyVersion,frameRate,
Animals,Semantic,,,,,0,0,0,6,10.669022992951795,None,11.936119043035433,12.936072883894667,12.919374383985996,None,12.919374383985996,None,12.919374383985996,None,12.919374383985996,None,12.919374383985996,None,12.919374383985996,None,12.919374383985996,None,12.919374383985996,None,12.919374383985996,None,cat,dog,horse,otter,mammal,,,,,22.922516407910734,23.922361013945192,23.906099593034014,None,23.906099593034014,None,23.906099593034014,None,23.906099593034014,None,4,1.0287988130003214,23.906099593034014,None,24.9577426048927,None,24.9577426048927,None,Popped into my head,001,001,2020_Jun_19_1542,Word Fluency Task,2020.1.2,None,
Things in a garage,Spatial,,,,,0,1,1,0,,,33.492530995979905,34.493865052005276,34.47617421206087,None,34.47617421206087,None,34.47617421206087,None,34.47617421206087,None,34.47617421206087,None,34.47617421206087,None,34.47617421206087,None,34.47617421206087,None,34.47617421206087,None,car,tire,clear,screen,,,,,,44.4801884770859,45.48047461989336,45.463622488081455,None,45.463622488081455,None,45.463622488081455,None,45.463622488081455,None,5,1.049237567000091,45.463622488081455,None,46.52986942208372,None,46.52986942208372,None,It popped into myhead,001,001,2020_Jun_19_1542,Word Fluency Task,2020.1.2,None,
