consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word14,rt_14,word15,word16,rt_15,rt_16,word17,word18,word19,word20,word21,word22,word23,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23
0,0,0,0,1,Consent1.png,AIGUVMQQYYKMN,001,2020-07-27_16h57.03.981,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,AIGUVMQQYYKMN,001,2020-07-27_16h57.03.981,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AIGUVMQQYYKMN,001,2020-07-27_16h57.03.981,Fluency_Task,2020.1.2,Win32,60,space,0.98391,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AIGUVMQQYYKMN,001,2020-07-27_16h57.03.981,Fluency_Task,2020.1.2,Win32,60,space,16.69347,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AIGUVMQQYYKMN,001,2020-07-27_16h57.03.981,Fluency_Task,2020.1.2,Win32,60,space,29.61201,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AIGUVMQQYYKMN,001,2020-07-27_16h57.03.981,Fluency_Task,2020.1.2,Win32,60,space,180.58692,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AIGUVMQQYYKMN,001,2020-07-27_16h57.03.981,Fluency_Task,2020.1.2,Win32,60,space,19.696495,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AIGUVMQQYYKMN,001,2020-07-27_16h57.03.981,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,10.966825,lawnmower,rake,shovel,hammer,screwdriver,boxes,gas can,oil ,car,shelfs,bicycles,trash can,ladder,74,70,69,67,63,61,52,49,48,44,28,13,12,2,4.712665,I thought about what is in my garage.,j,1.392545,0,0,0,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,,,,,
,,,,,,AIGUVMQQYYKMN,001,2020-07-27_16h57.03.981,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fire,food,fist,friend,forehead,finger,fight,foe,frost,frisbee,faucet,freezer,freckles,81,79,77,75,73,71,66,63,41,31,29,25,1,3,2.3556,I just thought of words that start with F.,p,0.988215,0,1,1,3,1,Words that start with F,Phonemic,p,,,,,,,,,,,,,,,,,,,,
,,,,,,AIGUVMQQYYKMN,001,2020-07-27_16h57.03.981,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,ant,apple,anvil,ape,ankle,anchor,avocado,arugula,airplane,asparagus,anchovies,aspirin,aardvark,83,81,79,76,74,72,64,54,49,45,36,28,21,4,1.77046,I tried to think of A words.,j,0.914165,0,2,2,4,1,Words that start with A,Phonemic,j,anteater,18,,,,,,,,,,,,,,,,,,
,,,,,,AIGUVMQQYYKMN,001,2020-07-27_16h57.03.981,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fire fighter,police man,doctor,lawyer,accountant,construction worker,teacher,therapist,landscaper,garbage man,banker,programmer,weather man,83,80,78,75,73,67,65,53,49,45,43,30,24,3,2.72168,I thought of jobs I knew of.,p,0.838925,0,3,3,7,1,Occupations,Semantic,p,plumber,20,electrician,manager,18,1,,,,,,,,,,,,,,
,,,,,,AIGUVMQQYYKMN,001,2020-07-27_16h57.03.981,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,telephone,reception desk,chairs,tables,tv,coffee maker,pen,paper,receptionist,computer,,,,84,80,76,74,72,64,55,53,48,9,,,,5,2.94512,I thought of things I have seen in a hotel lobby before.,j,0.775905,0,4,4,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,,,,,,,,,,
