consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word8,rt_8,word9,word10,word11,rt_9,rt_10,rt_11,word12,word13,word14,word15,rt_12,rt_13,rt_14,rt_15,word16,rt_16
0,0,0,0,1,Consent1.png,A1375MTNTK0YX6,001,2020-07-27_16h53.41.081,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A1375MTNTK0YX6,001,2020-07-27_16h53.41.081,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1375MTNTK0YX6,001,2020-07-27_16h53.41.081,Fluency_Task,2020.1.2,Win32,60,space,6.399,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1375MTNTK0YX6,001,2020-07-27_16h53.41.081,Fluency_Task,2020.1.2,Win32,60,space,32.171,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1375MTNTK0YX6,001,2020-07-27_16h53.41.081,Fluency_Task,2020.1.2,Win32,60,space,38.968,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1375MTNTK0YX6,001,2020-07-27_16h53.41.081,Fluency_Task,2020.1.2,Win32,60,space,28.97,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1375MTNTK0YX6,001,2020-07-27_16h53.41.081,Fluency_Task,2020.1.2,Win32,60,space,22.463,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1375MTNTK0YX6,001,2020-07-27_16h53.41.081,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,8.456,range,oven,grill,deep fryerwalk in cooler,freezer,pns,pizza screens,50,47,43,31,20,12,2,5,7.895,"I think myself like I am entering in a restaurant, then I listed the things.",p,2.985,0,0,0,1,1,Things in a Restaurant,Spatial,p,,,,,,,,,,,,,,,,,,
,,,,,,A1375MTNTK0YX6,001,2020-07-27_16h53.41.081,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,axe,ability,abroad,absence,abuse,accept,83,80,31,25,22,17,12,5,3.531,Try to think all the words related to a which is starts with a ,j,3.385,0,1,1,4,1,Words that start with A,Phonemic,j,access,6,,,,,,,,,,,,,,,,
,,,,,,A1375MTNTK0YX6,001,2020-07-27_16h53.41.081,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,elephant,dog,lion,bear,tiger,cheetah,deer,83,81,79,75,70,54,43,3,5.939,It is very easy to guess. Beacause this time i need to list out animals these are look by everyone on everyday.,j,2.045,0,2,2,6,1,Animals,Semantic,j,cats,36,dinosaur,giraffe,camel,15,7,2,,,,,,,,,,
,,,,,,A1375MTNTK0YX6,001,2020-07-27_16h53.41.081,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fabric,face,fact,factor,factory,faculty,fail,74,70,65,60,54,46,40,6,4.939,I like this . I like my family and friends,p,2.24,0,3,3,3,1,Words that start with F,Phonemic,p,faint,36,fair,fake,false,31,26,19,flame,fall,fuck,family,16,12,9,2,,
,,,,,,A1375MTNTK0YX6,001,2020-07-27_16h53.41.081,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,start,sun,snail,slow,success,small,sick,81,78,76,74,68,65,49,6,2.856,"I will start , Definitely I will succeed one day",p,2.179,0,4,4,5,1,Words that start with S,Phonemic,p,sad,39,safe,sail,salary,29,25,19,sale,salt,sand,,14,6,2,,,
,,,,,,A1375MTNTK0YX6,001,2020-07-27_16h53.41.081,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,paint cans,cars,wrench,hammer,ladder,gloves,garbage can,54,52,47,41,35,30,23,3,2.73,Garage is a storage place for unuse things.,j,3.204,0,5,5,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,,,
,,,,,,A1375MTNTK0YX6,001,2020-07-27_16h53.41.081,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,teacher,tailor,solider,sailor,doctor,engineer,pilot,82,78,73,68,64,58,54,7,2.394,I relate one occupation to another occupation.,p,2.211,0,6,6,7,1,Occupations,Semantic,p,operator,46,captain,commado,militry officer,42,37,29,bank worker,manager,assitant,director,24,18,13,8,producer,4
,,,,,,A1375MTNTK0YX6,001,2020-07-27_16h53.41.081,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,football,hockey,baseball,volleyball,running,swimming,kabaddi,80,75,70,64,58,51,44,6,3.689,I think about ball and I listed different type of sports how much I can.,j,2.068,0,7,7,8,1,Sports,Semantic,j,khokho,40,cricket,basketball,tennis,34,25,22,badmiton,tabletennis,,,16,1,,,,
,,,,,,A1375MTNTK0YX6,001,2020-07-27_16h53.41.081,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,shampoo,conditioner,soap,shower gel,mouthwash,,,33,28,21,15,8,,,7,9.475,It make me tensed. I imagine hotel lobby and I answered for it.,j,2.041,0,8,8,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,,,,,,,,
