consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word8,word9,word10,word11,rt_8,rt_9,rt_10,rt_11,word12,word13,word14,word15,word16,word17,word18,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,word19,word20,rt_19,rt_20
0,0,0,0,1,Consent1.png,AVRP4VZBJED6I,001,2020-07-27_17h19.15.492,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,AVRP4VZBJED6I,001,2020-07-27_17h19.15.492,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h19.15.492,Fluency_Task,2020.1.2,Win32,60,space,4.233,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h19.15.492,Fluency_Task,2020.1.2,Win32,60,space,23.203,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h19.15.492,Fluency_Task,2020.1.2,Win32,60,space,43.232,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h19.15.492,Fluency_Task,2020.1.2,Win32,60,space,11.263,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h19.15.492,Fluency_Task,2020.1.2,Win32,60,space,7.249,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h19.15.492,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,4,16.284,cat,bear,elephant,fish,dog,mouse,graffi,86,76,66,62,57,52,41,3,4.132,,lshift,1.492,0,0,0,6,1,Animals,Semantic,j,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h19.15.492,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,it is good,high quality,clean,happiness,high cost,memorys,,79,74,69,62,56,31,31,5,2.521,it is some difficult,j,5.985,0,1,1,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h19.15.492,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,pizza,rice,ice ,juice,burger,alchol,table,84,81,78,73,61,57,30,6,2.071,very difficult to me,p,1.387,0,2,2,1,1,Things in a Restaurant,Spatial,p,chair,cloths,lights,decoration,27,21,14,7,,,,,,,,,,,,,,,,,,
