consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word11,word12,word13,rt_11,rt_12,rt_13
0,0,0,0,1,Consent1.png,A3LF3SHMDRE57K,001,2020-07-27_20h55.03.428,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3LF3SHMDRE57K,001,2020-07-27_20h55.03.428,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3LF3SHMDRE57K,001,2020-07-27_20h55.03.428,Fluency_Task,2020.1.2,Win32,60,space,1.847,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3LF3SHMDRE57K,001,2020-07-27_20h55.03.428,Fluency_Task,2020.1.2,Win32,60,space,7.482,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3LF3SHMDRE57K,001,2020-07-27_20h55.03.428,Fluency_Task,2020.1.2,Win32,60,space,2.842,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3LF3SHMDRE57K,001,2020-07-27_20h55.03.428,Fluency_Task,2020.1.2,Win32,60,space,4.226,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3LF3SHMDRE57K,001,2020-07-27_20h55.03.428,Fluency_Task,2020.1.2,Win32,60,space,1.839,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3LF3SHMDRE57K,001,2020-07-27_20h55.03.428,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,2,4.157,animal,ant,apple,acid,alert,alarm,art,atlas,after,attention,83,80,75,65,54,46,39,29,21,13,4,4.542,i like that this task,j,1.991,0,0,0,4,1,Words that start with A,Phonemic,j,,,,,,
,,,,,,A3LF3SHMDRE57K,001,2020-07-27_20h55.03.428,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sweet,salt,sun,shutdown,silk,shoe,shoot,sample,sticker,string,80,77,73,69,64,58,56,52,49,45,1,3.42,i know all words this leeter,p,2.013,0,1,1,5,1,Words that start with S,Phonemic,p,stunt,sniper,short,21,12,5
,,,,,,A3LF3SHMDRE57K,001,2020-07-27_20h55.03.428,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,tools,tire,light,shutter,greace,,,,,76,71,70,63,59,54,,,,,2,2.361,i know the little things of garage,j,1.982,0,2,2,0,1,Things in a Garage,Spatial,j,,,,,,
