Category,Type,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,fixation.started,fixation.stopped,timer.started,timer.stopped,instruct_text.started,instruct_text.stopped,letter_text.started,letter_text.stopped,screen_text.started,screen_text.stopped,list_text1.started,list_text1.stopped,list_text2.started,list_text2.stopped,list_text3.started,list_text3.stopped,list_text4.started,list_text4.stopped,list_text5.started,list_text5.stopped,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,rt_0,fixation_1.started,fixation_1.stopped,difficulty_question.started,difficulty_question.stopped,options.started,options.stopped,anchor_1.started,anchor_1.stopped,anchor_2.started,anchor_2.stopped,key_resp_diff.keys,key_resp_diff.rt,key_resp_diff.started,key_resp_diff.stopped,text_other.started,text_other.stopped,text.started,text.stopped,Strategy_resp,participant,session,date,expName,psychopyVersion,frameRate,
Animals,Semantic,,,,,0,0,0,6,7.602756273932755,None,8.786583484848961,9.786582093918696,9.770330186001956,None,9.770330186001956,None,9.770330186001956,None,9.770330186001956,None,9.770330186001956,None,9.770330186001956,None,9.770330186001956,None,9.770330186001956,None,9.770330186001956,None,cat,dog,moose,horse,tortoise,turtle,,,,,"(5, 10.270532157504931)",19.773295889841393,20.773108158959076,20.756334635894746,None,20.756334635894746,None,20.756334635894746,None,20.756334635894746,None,5,0.7576915819663554,20.756334635894746,None,21.539801348932087,None,21.539801348932087,None,It popped into my head,004,001,2020_Jun_19_1627,Word Fluency Task,2020.1.2,59.98654031452536,
Words that start with A,Phonemic,,,,,0,1,1,4,,,25.392080008983612,26.395698896842077,26.379546294920146,None,26.379546294920146,None,26.379546294920146,None,26.379546294920146,None,26.379546294920146,None,26.379546294920146,None,26.379546294920146,None,26.379546294920146,None,26.379546294920146,None,animal,anchor,,,,,,,,,"(1, 8.127075923373923)",36.38195569883101,37.37932761898264,37.36652471101843,None,37.36652471101843,None,37.36652471101843,None,37.36652471101843,None,7,1.2703284439630806,37.36652471101843,None,38.666719862027094,None,38.666719862027094,None,It popped into my head,004,001,2020_Jun_19_1627,Word Fluency Task,2020.1.2,59.98654031452536,
