consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word14,word15,word16,word17,word18,word19,rt_15,rt_16,rt_17,rt_18,rt_19,word20,rt_20,word21,word22,word23,word24,word25,word26,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26
0,0,0,0,1,Consent1.png,A3VP27UUQ34OXK,001,2020-07-27_13h22.48.032,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3VP27UUQ34OXK,001,2020-07-27_13h22.48.032,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3VP27UUQ34OXK,001,2020-07-27_13h22.48.032,Fluency_Task,2020.1.2,Win32,60,space,1.983,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3VP27UUQ34OXK,001,2020-07-27_13h22.48.032,Fluency_Task,2020.1.2,Win32,60,space,509.258,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3VP27UUQ34OXK,001,2020-07-27_13h22.48.032,Fluency_Task,2020.1.2,Win32,60,space,45.332,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3VP27UUQ34OXK,001,2020-07-27_13h22.48.032,Fluency_Task,2020.1.2,Win32,60,space,14.691,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3VP27UUQ34OXK,001,2020-07-27_13h22.48.032,Fluency_Task,2020.1.2,Win32,60,space,11.55,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3VP27UUQ34OXK,001,2020-07-27_13h22.48.032,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,6.062,apple,average,amazing,available,alligator,aggitate,agravate,absolutely,able,ape,ate,average,about,81,76,73,70,62,59,55,49,42,40,38,32,22,2,5,3.649,I just tried to remember any word that started with A.,j,3.771,0,0,0,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3VP27UUQ34OXK,001,2020-07-27_13h22.48.032,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sister,sinister,save,sample,send,savary,simple,send,significant,start,stay,squander,speed,84,82,80,79,76,71,68,60,53,46,44,35,32,29,3,3.226,I don'tknow,p,3.612,0,1,1,5,1,Words that start with S,Phonemic,p,spend,spit,stay,stamp,stop,severe,27,21,17,14,5,,,,,,,,,,,,,,
,,,,,,A3VP27UUQ34OXK,001,2020-07-27_13h22.48.032,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,risident,citizen,renter,owner,police man,server,care provider,consultant,barrista,construction worker,ceo,sales man,retail worker,78,75,72,70,61,56,50,48,40,31,22,16,12,6,3,2.926,"I messed up and read the word wrong as occupants at first and then realized it said occupations, which was easy for me to think of plenty of those.",p,1.543,0,2,2,7,1,Occupations,Semantic,p,manicurist,hairdresser,,,,,3,,,,,,,,,,,,,,,,,,
