consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word17,word18,word19,word20,word21,word22,word23,word24,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24
0,0,0,0,1,Consent1.png,A2866TYG0D96LM,001,2020-07-27_17h27.42.120,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A2866TYG0D96LM,001,2020-07-27_17h27.42.120,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2866TYG0D96LM,001,2020-07-27_17h27.42.120,Fluency_Task,2020.1.2,Win32,60,space,1.71527,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2866TYG0D96LM,001,2020-07-27_17h27.42.120,Fluency_Task,2020.1.2,Win32,60,space,100.733145,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2866TYG0D96LM,001,2020-07-27_17h27.42.120,Fluency_Task,2020.1.2,Win32,60,space,23.26844,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2866TYG0D96LM,001,2020-07-27_17h27.42.120,Fluency_Task,2020.1.2,Win32,60,space,36.563605,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2866TYG0D96LM,001,2020-07-27_17h27.42.120,Fluency_Task,2020.1.2,Win32,60,space,33.204375,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2866TYG0D96LM,001,2020-07-27_17h27.42.120,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,5.124675,basketball,soccer,football,tennis,volleyball,golf,cricket,rugby,table tennis,swimming,track,cross country,wrestling,boxing,baseball,badmitton,81,79,78,76,73,72,69,67,57,54,50,46,41,39,27,14,3,3.52029,I just tried to remember all the sports possible. I didn't use a particular strategy for this one.,j,2.40449,0,0,0,8,1,Sports,Semantic,j,,,,,,,,,,,,,,,,
,,,,,,A2866TYG0D96LM,001,2020-07-27_17h27.42.120,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,dog,cat,rhino,elephant,tiger,lion,squirrel,chipmunk,bird,cheetah,hyena,bear,badger,mole,monkey,sloth,87,84,80,78,77,76,71,67,66,52,49,48,45,38,35,34,2,3.21869,I started off just listing whatever came to my head but then I started to think of which animals came from certain areas. ,j,2.01484,0,1,1,6,1,Animals,Semantic,j,frog,wolf,coyote,ostrich,koala,cougar,panther,gazelle,30,27,23,20,14,8,6,1
,,,,,,A2866TYG0D96LM,001,2020-07-27_17h27.42.120,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,banker,teacher,police officer,fire fighter,lawyer,judge,secretary ,cashier,stocker,investor,cook,dishwasher,waiter,manager,janitor,salesman,86,85,82,78,76,75,69,64,60,56,48,46,44,42,37,33,2,3.188615,I just tried to think of certain businesses and what type of professions they each had.,p,2.020575,0,2,2,7,1,Occupations,Semantic,p,ceo,governor,mayor,president,general,soldier,,,26,18,17,15,9,7,,
,,,,,,A2866TYG0D96LM,001,2020-07-27_17h27.42.120,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,couch,host,television,desk,vendhing machine,flowers,plants,brochures,atm machine,art,,,,,,,85,80,77,73,66,55,54,42,34,15,,,,,,,6,3.153645,I just tried to visualize a hotel and remember what they had in their lobby.,j,1.55653,0,3,3,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,,,,,,
,,,,,,A2866TYG0D96LM,001,2020-07-27_17h27.42.120,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,snake,smart,sale,smoke,see,sap,sun,soil,squirrel,salmon,salad,starbucks,,,,,85,83,81,78,75,70,68,61,58,41,35,23,,,,,6,2.698145,I just tried to think of words that started with S that came to my mind. It was harder than I thought it would be.,p,1.810205,0,4,4,5,1,Words that start with S,Phonemic,p,,,,,,,,,,,,,,,,
,,,,,,A2866TYG0D96LM,001,2020-07-27_17h27.42.120,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,lawnmower,tools,freezer,washer,dryer,supplies,weed eater,totes,bags,paint cans,,,,,,85,83,82,74,72,70,65,38,30,12,5,,,,,,4,2.840605,,j,15.41913,0,5,5,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,
,,,,,,A2866TYG0D96LM,001,2020-07-27_17h27.42.120,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,food,fast,frenzy,feral,feline,fed,federal,famine,friend,family,father,fill,fell,fitting,,,86,85,82,81,78,71,67,59,53,51,45,41,39,35,,,5,1.842065,I tried to randomly think of as many words that start with F as possible.,p,1.646815,0,6,6,3,1,Words that start with F,Phonemic,p,,,,,,,,,,,,,,,,
,,,,,,A2866TYG0D96LM,001,2020-07-27_17h27.42.120,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,bar,tables,silverware,glasses,plates,food,beer,liquor,bread,ovens,pans,deep fryer,dishwasher,knives,skillets,ingredients,80,79,75,73,71,68,63,60,57,52,50,46,43,40,37,29,3,3.249605,I started thinking of the things in the front of house of the restaurant then listed things that came fom the kitchen after.,bracketleft,1.61065,0,7,7,1,1,Things in a Restaurant,Spatial,p,spatulas,tongs,waiters,manger,cooks,,,,17,11,8,4,3,,,
,,,,,,A2866TYG0D96LM,001,2020-07-27_17h27.42.120,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,awesome,able,alien,aware,ability,abysmal,absolute,anarchy,apple,angel,annoying,apathy,,,,,85,83,81,79,74,72,70,62,61,44,35,31,,,,,6,1.602045,Just listed A words that came to my head. I drew a blank after.,j,1.515955,0,8,8,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,,,,,
