consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26,rt_27,rt_28,word29,rt_29
0,0,0,0,1,Consent1.png,A11YS0T8MV3Q7C,001,2020-07-27_17h50.43.518,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A11YS0T8MV3Q7C,001,2020-07-27_17h50.43.518,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11YS0T8MV3Q7C,001,2020-07-27_17h50.43.518,Fluency_Task,2020.1.2,Win32,60,space,0.85994,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11YS0T8MV3Q7C,001,2020-07-27_17h50.43.518,Fluency_Task,2020.1.2,Win32,60,space,1.17279,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11YS0T8MV3Q7C,001,2020-07-27_17h50.43.518,Fluency_Task,2020.1.2,Win32,60,space,2.085435,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11YS0T8MV3Q7C,001,2020-07-27_17h50.43.518,Fluency_Task,2020.1.2,Win32,60,space,1.10411,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11YS0T8MV3Q7C,001,2020-07-27_17h50.43.518,Fluency_Task,2020.1.2,Win32,60,space,1.43602,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11YS0T8MV3Q7C,001,2020-07-27_17h50.43.518,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,2.16776,tables,forks,knives,spoons,dinnerware,lamps,neon lights,bar,stools,refrigerator,curtains,chairs,booths,freezer,stove,grill,87,85,84,82,80,79,75,72,71,66,62,56,53,48,32,30,2,13.191285,I remembered what I have seen in restaurants from my own experiences.,p,0.95434,0,0,0,1,1,Things in a Restaurant,Spatial,p,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11YS0T8MV3Q7C,001,2020-07-27_17h50.43.518,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,tables,lights,elevator,documents,magazines,pamphlets,vase,pots,chairs,,,,,,,,84,80,77,73,72,69,56,54,37,,,,,,,,4,4.523015,I tried to think of what a hotel lobby looks like from my memory and put in what I know can exist in one. ,j,1.4146,0,1,1,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11YS0T8MV3Q7C,001,2020-07-27_17h50.43.518,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,dog,cat,wolf,coyote,bat,sheep,cow,moose,deer,snake,giraffe,goat,llama,ferret,badger,tiger,88,88,87,83,81,78,78,74,72,70,65,61,60,58,55,42,1,0.831735,"From my experience living on earth and from school, I was able to recall what animals I am aware of.",j,1.23164,0,2,2,6,1,Animals,Semantic,j,lion,rhinoceros,walrus,penguin,shark,whale,stingray,horse,chicken,rabbit,bear,fox,40,37,33,32,31,29,25,18,16,15,6,3,,
