consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word16,word17,word18,word19,rt_16,rt_17,rt_18,rt_19
0,0,0,0,1,Consent1.png,A1DZMZTXWOM9MR,001,2020-07-27_17h10.32.978,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A1DZMZTXWOM9MR,001,2020-07-27_17h10.32.978,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1DZMZTXWOM9MR,001,2020-07-27_17h10.32.978,Fluency_Task,2020.1.2,Win32,60,space,1.78278,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1DZMZTXWOM9MR,001,2020-07-27_17h10.32.978,Fluency_Task,2020.1.2,Win32,60,space,86.083045,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1DZMZTXWOM9MR,001,2020-07-27_17h10.32.978,Fluency_Task,2020.1.2,Win32,60,space,13.983705,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1DZMZTXWOM9MR,001,2020-07-27_17h10.32.978,Fluency_Task,2020.1.2,Win32,60,space,24.62954,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1DZMZTXWOM9MR,001,2020-07-27_17h10.32.978,Fluency_Task,2020.1.2,Win32,60,space,26.50747,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1DZMZTXWOM9MR,001,2020-07-27_17h10.32.978,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,5.42238,fruit,fix,flag,fox,fur,fence,frost,frisbee,fleece,flex,finger,face,foliage,focus,frenzy,83,79,75,72,69,67,63,60,55,52,43,37,32,26,20,4,3.77527,I used items as they came to my mind.,p,3.87176,0,0,0,3,1,Words that start with F,Phonemic,p,,,,,,,,
,,,,,,A1DZMZTXWOM9MR,001,2020-07-27_17h10.32.978,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,arm,army,arrow,air,airline,artichoke,art,arch,able,,,,,,,83,79,75,71,63,52,44,22,8,,,,,,,3,2.81777,I used items that came into my mind.,j,3.19772,0,1,1,4,1,Words that start with A,Phonemic,j,,,,,,,,
,,,,,,A1DZMZTXWOM9MR,001,2020-07-27_17h10.32.978,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,chair,counter,hostess,bellhop,newspaper,table,pictures,television,luggage rack,,,,,,,83,77,72,68,63,56,48,42,17,,,,,,,4,3.227585,I thought about things that would appear in this location.,j,3.647835,0,2,2,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,
,,,,,,A1DZMZTXWOM9MR,001,2020-07-27_17h10.32.978,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,server,tables,chairs,mustard,ketchup,food,waiter,waitress,cook,menus,napkins,booth,beverages,,,85,81,78,70,66,64,58,54,51,36,31,24,15,,,3,5.699095,I thought about what I typically experience when at a restautant.,p,1.639145,0,3,3,1,1,Things in a Restaurant,Spatial,p,,,,,,,,
,,,,,,A1DZMZTXWOM9MR,001,2020-07-27_17h10.32.978,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,bear,tiger,elephant,zebra,horse,lion,seal,monkey,goat,ram,lamb,sheep,whale,shark,bat,86,83,79,74,71,66,64,60,55,53,51,49,42,39,36,3,7.62598,I thought about animals from various types of habitats.,j,3.309215,0,4,4,6,1,Animals,Semantic,j,bird,giraffe,seal,penguine,34,27,16,12
,,,,,,A1DZMZTXWOM9MR,001,2020-07-27_17h10.32.978,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,star,shack,seat,shine,sunrise,slippery,slant,split,splatter,spin,sputter,spout,sprout,stand,shake,84,77,74,71,66,54,50,41,35,32,28,24,21,16,12,2,2.89711,I used words as they popped into my mind.,p,1.98195,0,5,5,5,1,Words that start with S,Phonemic,p,shook,sincere,,,8,3,,
,,,,,,A1DZMZTXWOM9MR,001,2020-07-27_17h10.32.978,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,boxes,fniture,drill,shovel,trashbin,trunk,oil,lawnmower,hedge trimmer,cutting shears,plant soil,,,,84,80,74,71,67,55,43,32,26,21,13,5,,,,3,2.98663,I thought about the things in my own garage.,j,2.781285,0,6,6,0,1,Things in a Garage,Spatial,j,,,,,,,,
,,,,,,A1DZMZTXWOM9MR,001,2020-07-27_17h10.32.978,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,accountant,bank teller,garbage collecter,secretary,carpenter,lawyer,,,,,,,,,,82,73,53,42,33,24,,,,,,,,,,4,73.862825,I thought about many types of professions that are common to me.,p,1.75557,0,7,7,7,1,Occupations,Semantic,p,,,,,,,,
,,,,,,A1DZMZTXWOM9MR,001,2020-07-27_17h10.32.978,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,football basketball,basketball,hockey,soccer,tennis,golf,racing,fishing,,,,,,,,60,53,49,47,39,36,31,26,,,,,,,,2,3.668255,I thought about sports that I have seen on television.,j,1.964945,0,8,8,8,1,Sports,Semantic,j,,,,,,,,
