consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word12,word13,word14,word15,word16,word17,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17
0,0,0,0,1,Consent1.png,A1OZ1S22HC1MAC,001,2020-07-25_11h24.55.770,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A1OZ1S22HC1MAC,001,2020-07-25_11h24.55.770,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1OZ1S22HC1MAC,001,2020-07-25_11h24.55.770,Fluency_Task,2020.1.2,Win32,60,space,4.065,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1OZ1S22HC1MAC,001,2020-07-25_11h24.55.770,Fluency_Task,2020.1.2,Win32,60,space,0.236,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1OZ1S22HC1MAC,001,2020-07-25_11h24.55.770,Fluency_Task,2020.1.2,Win32,60,space,0.176,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1OZ1S22HC1MAC,001,2020-07-25_11h24.55.770,Fluency_Task,2020.1.2,Win32,60,space,0.558,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1OZ1S22HC1MAC,001,2020-07-25_11h24.55.770,Fluency_Task,2020.1.2,Win32,60,space,0.199,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1OZ1S22HC1MAC,001,2020-07-25_11h24.55.770,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,3.468,engineering ,doctor,farmer,cleaner,driver,conductor,operator,director,producer,designer,developer,68,65,61,56,51,47,42,39,36,33,4,1,2.949,it was very easy to think that we pass from ever occupations from our day to day life,p,3.23,0,0,0,7,1,Occupations,Semantic,p,,,,,,,,,,,,
,,,,,,A1OZ1S22HC1MAC,001,2020-07-25_11h24.55.770,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,baseball ,football,volley ball,cricket,tennis,rugby,,,,,,76,74,70,68,35,3,,,,,,1,5.309,sports is day to day activity it is very easy,j,1.632,0,1,1,8,1,Sports,Semantic,j,,,,,,,,,,,,
,,,,,,A1OZ1S22HC1MAC,001,2020-07-25_11h24.55.770,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fox,fit,flim,fan,flat,food,fax,first,filthy,fantastic,fabulus,86,85,82,81,79,76,75,72,67,64,59,1,1.974,it tells as to write the word starts with f and it is easy,p,1.734,0,2,2,3,1,Words that start with F,Phonemic,p,fun,firm,frimly,flim,filmfact,family,55,52,48,45,36,9
