consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31,word32,word33,word34,word35,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26,rt_27,rt_28,rt_29,rt_30,rt_31,rt_32,rt_33,rt_34,rt_35,rt_36,rt_37,rt_38,rt_39,rt_40,rt_41,rt_42,rt_43,rt_44,rt_45,rt_46,rt_47,rt_48,rt_49,rt_50,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word36,word37,word38,word39,word40,word41
0,0,0,0,1,Consent1.png,A3JBKUIX0S3E4Y,001,2020-07-27_16h51.25.361,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3JBKUIX0S3E4Y,001,2020-07-27_16h51.25.361,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3JBKUIX0S3E4Y,001,2020-07-27_16h51.25.361,Fluency_Task,2020.1.2,Win32,60,space,1.583,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3JBKUIX0S3E4Y,001,2020-07-27_16h51.25.361,Fluency_Task,2020.1.2,Win32,60,space,0.151,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3JBKUIX0S3E4Y,001,2020-07-27_16h51.25.361,Fluency_Task,2020.1.2,Win32,60,space,0.149,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3JBKUIX0S3E4Y,001,2020-07-27_16h51.25.361,Fluency_Task,2020.1.2,Win32,60,space,0.118,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3JBKUIX0S3E4Y,001,2020-07-27_16h51.25.361,Fluency_Task,2020.1.2,Win32,60,space,0.247,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3JBKUIX0S3E4Y,001,2020-07-27_16h51.25.361,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,1,5.976,wsdccjcnndsjnjskfnjnknfnfsknfdsk,djnfsjknfskndf,d,f,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,86,84,83,83,82,82,82,82,81,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,78,78,78,77,77,77,77,77,76,76,76,76,76,75,75,75,75,75,74,74,74,74,74,73,73,73,7,5.363,667777766767767,return,0.333,0,0,0,0,1,Things in a Garage,Spatial,j,,,,,,
,,,,,,A3JBKUIX0S3E4Y,001,2020-07-27_16h51.25.361,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,dog,d,c,x,x,x,c,cx,xc,x,x,x,c,x,x,xc,x,xc,c,x,x,c,c,x,c,xc,c,x,x,,,,,,,91,91,90,90,90,90,83,82,82,81,81,81,81,81,80,80,80,80,80,80,79,79,79,79,78,78,78,78,78,77,77,77,77,77,77,76,76,76,76,76,75,75,75,75,74,74,74,74,73,73,6,4.632,sjddsk,d,0.161,0,1,1,6,1,Animals,Semantic,j,,,,,,
,,,,,,A3JBKUIX0S3E4Y,001,2020-07-27_16h51.25.361,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,d,d,d,ds,d,sd,f,f,df,f,df,d,df,d,d,d,d,d,f,d,f,fd,d,fd,d,f,f,df,f,f,df,d,f,f,df,91,91,90,90,90,90,89,89,89,89,88,88,88,88,87,87,87,87,86,86,86,86,86,86,85,85,85,85,85,84,84,84,84,83,83,83,83,82,82,82,82,82,81,81,81,80,80,80,80,80,4,1.646,344,return,0.866,0,2,2,7,1,Occupations,Semantic,p,fdf,df,f,,,
