consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word14,word15,word16,word17,word18,word19,word20,word21,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,word22,rt_22
0,0,0,0,1,Consent1.png,A3VN22T0IE5JM4,001,2020-07-27_19h07.33.791,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3VN22T0IE5JM4,001,2020-07-27_19h07.33.791,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3VN22T0IE5JM4,001,2020-07-27_19h07.33.791,Fluency_Task,2020.1.2,Win32,60,space,1.072,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3VN22T0IE5JM4,001,2020-07-27_19h07.33.791,Fluency_Task,2020.1.2,Win32,60,space,14.001,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3VN22T0IE5JM4,001,2020-07-27_19h07.33.791,Fluency_Task,2020.1.2,Win32,60,space,12.102,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3VN22T0IE5JM4,001,2020-07-27_19h07.33.791,Fluency_Task,2020.1.2,Win32,60,space,25.07,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3VN22T0IE5JM4,001,2020-07-27_19h07.33.791,Fluency_Task,2020.1.2,Win32,60,space,15.405,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3VN22T0IE5JM4,001,2020-07-27_19h07.33.791,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,6.812,officer worker,programmer,janitor,food delivery,cook,manager,clerk,cashier,banker,taxi driver,bus driver,wood  worker,carpenter,81,75,72,66,62,50,41,36,30,17,14,5,1,4,6.768,I was trying to remember the jobs of my relatives and friends first,p,3.996,0,0,0,7,1,Occupations,Semantic,p,,,,,,,,,,,,,,,,,,
,,,,,,A3VN22T0IE5JM4,001,2020-07-27_19h07.33.791,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cat,dog,tiger,lion,bird,ant,seagull,elephant,mouse,rat,parrot,snake,rabbit,88,86,83,81,77,75,70,66,62,60,56,53,51,2,5.714,I thought about my pets first then what animals I remember seeing in the zoo,j,1.447,0,1,1,6,1,Animals,Semantic,j,monkey,panda,racoon,bear,horse,deer,beetle,firefly,47,39,31,26,23,18,10,4,,
,,,,,,A3VN22T0IE5JM4,001,2020-07-27_19h07.33.791,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,ape,angry,alphabet,air,alps,anteater,arrogant,alligator,,,,,87,83,80,74,65,60,50,34,19,,,,,5,5.332,I was just searching my head for words that start with th letter A,j,1.214,0,2,2,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,,,,,,,
,,,,,,A3VN22T0IE5JM4,001,2020-07-27_19h07.33.791,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sample,simple,sit,save,settle,super,statistic,satisfy,sand,shore,shoulder,spline,spine,86,83,79,76,73,68,63,57,54,51,42,36,29,3,2.334,In my head I would go through a list of topics and try to find a word in each topic that starts with S,p,1.153,0,3,3,5,1,Words that start with S,Phonemic,p,snow,shower,saw,sea,shadow,seesaw,show,sad,24,22,20,16,14,11,8,5,see,1
,,,,,,A3VN22T0IE5JM4,001,2020-07-27_19h07.33.791,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,receptionist,desk,chairs,couch,tv,luggage,carpet,noise,food,room keys,people,drinks,,80,77,75,70,66,60,54,48,42,35,23,5,,5,3.63,I tried to remember the lobby of the last hotel I was in,j,1.334,0,4,4,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,,,,,,,,
,,,,,,A3VN22T0IE5JM4,001,2020-07-27_19h07.33.791,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,plates,food,tabls,tables,napkins,chairs,servers,cooks,bread,people,,,,82,80,77,73,66,58,51,46,34,5,,,,7,4.358,I was picturing my last time in a resturant,p,1.25,0,5,5,1,1,Things in a Restaurant,Spatial,p,,,,,,,,,,,,,,,,,,
,,,,,,A3VN22T0IE5JM4,001,2020-07-27_19h07.33.791,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,soccer,football,basketball,baseball,volleyball,tennis,hockey,swimming,racing,running,golf,fishing,nascar,87,84,81,77,73,71,66,58,44,39,32,25,17,2,5.825,I was reemembering wht I played before and also what sports I saw on tv,j,1.166,0,6,6,8,1,Sports,Semantic,j,,,,,,,,,,,,,,,,,,
,,,,,,A3VN22T0IE5JM4,001,2020-07-27_19h07.33.791,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,bike,car,tools,saw,screwdriver,generator,pump,jack,wires,lumber,hammer,drill,lawn mower,86,84,81,79,72,67,64,58,49,38,32,29,12,2,2.618,I was picturing what was in my brothers garage when I vised him,j,11.044,0,7,7,0,1,Things in a Garage,Spatial,j,cleaning supplies,,,,,,,,1,,,,,,,,,
,,,,,,A3VN22T0IE5JM4,001,2020-07-27_19h07.33.791,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fire,friend,fake,first,finger,fast,food,fat,freeze,frost,fight,fear,fry,87,83,80,75,71,68,66,63,59,56,45,43,35,3,2.316,I was going though my head each category at a time and finding words starting with F,p,1.144,0,8,8,3,1,Words that start with F,Phonemic,p,flee,freedom,frustration,flustered,fatigue,,,,32,20,13,7,2,,,,,
