consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word12,word13,word14,word15,word16,word17,word18,word19,word20,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,word21,word22,word23,word24,word25,word26,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26,word27,word28,word29,word30,word31,rt_27,rt_28,rt_29,rt_30,rt_31
0,0,0,0,1,Consent1.png,A2WWYVKGZZXBOB,001,2020-07-23_14h44.12.568,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A2WWYVKGZZXBOB,001,2020-07-23_14h44.12.568,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-23_14h44.12.568,Fluency_Task,2020.1.2,Win32,60,space,0.885985,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-23_14h44.12.568,Fluency_Task,2020.1.2,Win32,60,space,0.619485,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-23_14h44.12.568,Fluency_Task,2020.1.2,Win32,60,space,0.823625,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-23_14h44.12.568,Fluency_Task,2020.1.2,Win32,60,space,0.37167,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-23_14h44.12.568,Fluency_Task,2020.1.2,Win32,60,space,0.538085,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-23_14h44.12.568,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,2.653015,bed,sheets,closet,desk,dresser,wardrobe,carpet,wallpaper,lamp,toys,clothes,85,81,80,78,76,73,69,66,64,55,47,4,0.69292,I imagined my own bedroom.,p,1.04494,0,0,0,1,1,Things in a bedroom,Spatial,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-23_14h44.12.568,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,football,basketball,wrestling,baseball,cricket,rugby,soccer,skeet,bowling,,,85,82,81,79,78,74,73,68,64,,,4,0.455165,I thought of common sports.,j,0.86751,0,1,1,8,1,Sports,Semantic,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-23_14h44.12.568,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,toolbox,car,van,truck,grease,oil,bicycle,screwdriver,door,hammer,nails,86,84,83,82,81,80,77,72,71,68,67,4,0.421545,I imagined my ow n garage.,j,0.784545,0,2,2,0,1,Things in a garage,Spatial,j,measuring tape,refrigerator,toys,screws,nuts,bolts,covers,steps,window,64,61,60,53,51,50,43,29,27,,,,,,,,,,,,,,,,,,,,,,
