consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word9,word10,rt_9,rt_10
0,0,0,0,1,Consent1.png,A3F5TRRO75IXPL,001,2020-07-28_06h24.36.039,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3F5TRRO75IXPL,001,2020-07-28_06h24.36.039,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3F5TRRO75IXPL,001,2020-07-28_06h24.36.039,Fluency_Task,2020.1.2,Win32,60,space,2.42958,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3F5TRRO75IXPL,001,2020-07-28_06h24.36.039,Fluency_Task,2020.1.2,Win32,60,space,31.83359,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3F5TRRO75IXPL,001,2020-07-28_06h24.36.039,Fluency_Task,2020.1.2,Win32,60,space,19.53171,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3F5TRRO75IXPL,001,2020-07-28_06h24.36.039,Fluency_Task,2020.1.2,Win32,60,space,33.555015,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3F5TRRO75IXPL,001,2020-07-28_06h24.36.039,Fluency_Task,2020.1.2,Win32,60,space,15.048485,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3F5TRRO75IXPL,001,2020-07-28_06h24.36.039,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,21.58518,ball,cricket,fifa,bat,hockey,tennis,racing,golf,75,62,54,45,38,26,15,5,2,6.71919,imagined all the sports games i saw in my childhood.,j,5.472485,0,0,0,8,1,Sports,Semantic,j,,,,
,,,,,,A3F5TRRO75IXPL,001,2020-07-28_06h24.36.039,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sofa,telephone,water,record note,room keys,,,,75,63,49,21,2,,,,5,4.393885,i imagined myself in a hotel lobby.,j,1.876825,0,1,1,2,1,Things in a Hotel Lobby,Spatial,j,,,,
,,,,,,A3F5TRRO75IXPL,001,2020-07-28_06h24.36.039,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,foot,friend,fashion,fancy,from,fan,fun,feel,74,45,37,31,27,20,10,0,3,3.691845,searched within my mind all the words start with F,p,1.69827,0,2,2,3,1,Words that start with F,Phonemic,p,,,,
,,,,,,A3F5TRRO75IXPL,001,2020-07-28_06h24.36.039,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,bike,van,lorry,bus,vehicles,,,78,74,71,53,50,28,,,6,4.494195,I imagined all the garage items,j,2.223585,0,3,3,0,1,Things in a Garage,Spatial,j,,,,
,,,,,,A3F5TRRO75IXPL,001,2020-07-28_06h24.36.039,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,job,manager,employee,position,,,,,62,36,22,10,,,,,6,4.564885,I searched in my mind about proffession,p,1.65975,0,4,4,7,1,Occupations,Semantic,p,,,,
,,,,,,A3F5TRRO75IXPL,001,2020-07-28_06h24.36.039,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cat,cow,goat,deer,lion,zeebra,snake,tiger,81,78,73,52,48,42,27,23,1,304.80959,I imagined in a zoo.,j,2.046115,0,5,5,6,1,Animals,Semantic,j,,,,
,,,,,,A3F5TRRO75IXPL,001,2020-07-28_06h24.36.039,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,age,action,also,again,and,axe,at,74,70,64,58,40,20,15,4,4,6.859235,I imagined all the words starting with a.,j,2.10465,0,6,6,4,1,Words that start with A,Phonemic,j,,,,
,,,,,,A3F5TRRO75IXPL,001,2020-07-28_06h24.36.039,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,telephone,table,chair,plate,food,,,,63,50,27,14,10,,,,5,3.841075,I imagined myself in a restaurent.,p,2.11877,0,7,7,1,1,Things in a Restaurant,Spatial,p,,,,
,,,,,,A3F5TRRO75IXPL,001,2020-07-28_06h24.36.039,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,song,spoon,so,say,some,soon,should,start,68,60,53,47,42,39,31,24,1,2.95767,I know many s starting words,p,2.661675,0,8,8,5,1,Words that start with S,Phonemic,p,sneeze,super,15,5
