consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26,rt_27,word28,word29,word30,word31,word32,word33,rt_28,rt_29,rt_30,rt_31,rt_32,rt_33
0,0,0,0,1,Consent1.png,A2WWYVKGZZXBOB,001,2020-07-27_16h58.58.901,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A2WWYVKGZZXBOB,001,2020-07-27_16h58.58.901,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-27_16h58.58.901,Fluency_Task,2020.1.2,Win32,60,space,0.75921,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-27_16h58.58.901,Fluency_Task,2020.1.2,Win32,60,space,0.53569,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-27_16h58.58.901,Fluency_Task,2020.1.2,Win32,60,space,1.1331,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-27_16h58.58.901,Fluency_Task,2020.1.2,Win32,60,space,0.28761,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-27_16h58.58.901,Fluency_Task,2020.1.2,Win32,60,space,0.50097,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-27_16h58.58.901,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,4.14749,toolbox,ca,car,van,toys,truck,garden tools,hammer,door,window,refrigerator,grease,oil,84,77,75,74,70,68,62,58,56,54,49,27,25,4,1.253385,I was just thinking of thingsin garages.,j,1.47928,0,0,0,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-27_16h58.58.901,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,bear,tiger,dog,lion,cat,lynx,raccoon,fox,wolf,chinchilla,gerbil,rat,mouse,87,86,85,83,82,80,77,77,75,71,68,67,64,5,0.782345,I thought about different types of animals.,j,0.91974,0,1,1,6,1,Animals,Semantic,j,hamster,fish,bird,giraffe,hippo,zebra,elk,deer,caribou,platypus,tasmanian devil,wolverine,beaver,chipmunk,62,55,52,46,44,42,41,40,37,34,29,27,26,23,,,,,,,,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-27_16h58.58.901,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,teacher,lawyer,professor,stocker,cashier,teller,attendant,valet,cook,waiter,scientist,psychiatrist,construction worker,87,86,84,83,82,78,74,73,72,70,65,60,53,5,0.56311,I thought about jobs people I know and mysel have had.,p,1.010985,0,2,2,7,1,Occupations,Semantic,p,policeman,fireman,emt,doctor,janitor,mailman,delivery driver,loader,assembler,manager,,,,,49,43,41,38,36,30,24,17,12,7,,,,,,,,,,,,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-27_16h58.58.901,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,basketball,baseball,football,soccer,wrestling,curling,bowling,tennis,skeet,weightlifting,rugby,cricket,billiards,85,81,79,78,76,73,70,68,65,57,52,48,41,5,0.430785,I thought about common sports and Olympic sports.,j,0.784195,0,3,3,8,1,Sports,Semantic,j,racing,bobsledding,swimming,,,,,,,,,,,,28,13,5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-27_16h58.58.901,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,start,sound,safe,sort,shirt,shame,sham,shoot,shore,share,shape,stop,store,87,86,84,82,81,79,76,73,71,68,67,64,61,1,1.039755,I justthought of words.,p,0.813265,0,4,4,5,1,Words that start with S,Phonemic,p,sky,scald,scullion,skull,skill,squall,squelch,square,squirrel,swing,swat,swill,shill,shall,59,56,54,52,49,47,42,39,35,33,31,29,26,25,should,show,shriek,shampoo,swell,still,22,20,17,11,7,1
,,,,,,A2WWYVKGZZXBOB,001,2020-07-27_16h58.58.901,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fork,forklift,far,fast,fall,foil,fill,full,foliage,farce,fart,farm,firm,88,86,84,83,81,80,78,77,74,72,70,68,66,3,0.6984,I just thought of words.,p,0.90259,0,5,5,3,1,Words that start with F,Phonemic,p,form,formation,feral,flip,flop,flub,force,fish,flimsy,frame,friend,freak,frantic,frenzy,65,63,60,54,52,49,46,38,33,22,21,19,14,12,fizzle,,,,,,8,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-27_16h58.58.901,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,ashamed,ant,amber,annotate,ax,ass,asteroid,august,augury,all,almost,altogether,88,86,83,80,77,74,72,68,61,58,55,54,52,2,1.79685,I just thought of A words.,j,0.690115,0,6,6,4,1,Words that start with A,Phonemic,j,annex,application,abhor,abstain,accede,ace,account,advertise,adverse,adverb,,,,,44,31,25,22,18,17,14,10,7,5,,,,,,,,,,,,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-27_16h58.58.901,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,desk,concierge,employee,couch,television,carpet,keys,tile,door,elevator,stairwell,customers,luggage,87,84,83,82,80,75,71,67,64,62,58,54,50,3,0.33308,I thought of lobbiesI've been in.,j,0.719195,0,7,7,2,1,Things in a Hotel Lobby,Spatial,j,luggage rack,chair,wallpaper,speaker,computers,counter,paper,guestbook,pen,,,,,,47,42,33,29,25,18,13,10,8,,,,,,,,,,,,,,,,,
,,,,,,A2WWYVKGZZXBOB,001,2020-07-27_16h58.58.901,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,plate,table,customer,waiter,cook,dish,food,water,soda,alcohol,tablecloth,chairs,carts,87,86,85,83,82,80,78,77,76,72,70,69,65,3,0.571715,I thought of my favorite restaurants.,p,0.914315,0,8,8,1,1,Things in a Restaurant,Spatial,p,platters,bar,plants,counters,carpet,speakers,paper,pens,credit card holders,credit card readers,buffet table,salad bar,stool,,61,60,53,50,45,41,30,28,21,18,14,8,4,,,,,,,,,,,,,
