consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,rt_1,rt_2,rt_3,rt_4,rt_5,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word5,word6,rt_6,word7,word8,rt_7,rt_8
0,0,0,0,1,Consent1.png,AR1LAQFHYQ3T4,001,2020-07-27_19h02.13.218,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,AR1LAQFHYQ3T4,001,2020-07-27_19h02.13.218,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AR1LAQFHYQ3T4,001,2020-07-27_19h02.13.218,Fluency_Task,2020.1.2,Win32,60,space,3.10846,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AR1LAQFHYQ3T4,001,2020-07-27_19h02.13.218,Fluency_Task,2020.1.2,Win32,60,space,15.84775,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AR1LAQFHYQ3T4,001,2020-07-27_19h02.13.218,Fluency_Task,2020.1.2,Win32,60,space,7.454545,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AR1LAQFHYQ3T4,001,2020-07-27_19h02.13.218,Fluency_Task,2020.1.2,Win32,60,space,4.69792,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AR1LAQFHYQ3T4,001,2020-07-27_19h02.13.218,Fluency_Task,2020.1.2,Win32,60,space,2.6694,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AR1LAQFHYQ3T4,001,2020-07-27_19h02.13.218,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,42.00921,architecture,education,hospitlity,information,37,23,15,5,0,6,18.68002,architecture is the art and science of designing building and other physical structures.,p,4.9979,0,0,0,7,1,Occupations,Semantic,p,,,,,,,
,,,,,,AR1LAQFHYQ3T4,001,2020-07-27_19h02.13.218,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sack,safe,sad,sabolo,71,66,60,43,32,3,6.057055,a ship comprises of both visible as well as invisible parts.,p,1.815445,0,1,1,5,1,Words that start with S,Phonemic,p,sabatons,ship,7,,,,
,,,,,,AR1LAQFHYQ3T4,001,2020-07-27_19h02.13.218,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,tiger,dog,cat,cow,76,72,69,65,60,1,25.81938,the cat is domestic species of small carnicorous mammal.,j,2.69459,0,2,2,6,1,Animals,Semantic,j,horse,rabbit,56,squirrel,deer,18,3
,,,,,,AR1LAQFHYQ3T4,001,2020-07-27_19h02.13.218,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,slicers,ovens,ranges,mixers,41,35,29,25,22,1,20.15254,a mixer is kitchen utensil which uses a gear driven mechanism to rotate  a set of beaters in  a bowl containing the food to be prepared.,p,1.499345,0,3,3,1,1,Things in a Restaurant,Spatial,p,sinks,shelving,14,,,,
,,,,,,AR1LAQFHYQ3T4,001,2020-07-27_19h02.13.218,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,face,fail,fair,figs,57,48,44,22,17,2,42.27847,such as the size of the features of your face and their arrangement.,p,1.266905,0,4,4,3,1,Words that start with F,Phonemic,p,fish,file,9,,,,
,,,,,,AR1LAQFHYQ3T4,001,2020-07-27_19h02.13.218,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,checking in or out,meet and greet,waiting area,social hangout,61,49,42,29,13,1,44.496705,a room as in a hotel or airport with seating where people can wait.,j,1.18599,0,5,5,2,1,Things in a Hotel Lobby,Spatial,j,information hub,,,,,,
,,,,,,AR1LAQFHYQ3T4,001,2020-07-27_19h02.13.218,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,abide,alligator,ant,apple,67,48,47,45,35,1,27.64868,an apple is an edible fruit produced by an apple tree.,j,8.663365,0,6,6,4,1,Words that start with A,Phonemic,j,astronaut,aunt,16,,,,
,,,,,,AR1LAQFHYQ3T4,001,2020-07-27_19h02.13.218,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,old paint cans,a ladder,,,58,52,,,,4,10.430995,a ladders is different types like  aluminium folding and extension ladder.,j,1.47644,0,7,7,0,1,Things in a Garage,Spatial,j,,,,,,,
,,,,,,AR1LAQFHYQ3T4,001,2020-07-27_19h02.13.218,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,adventure ,aquatic,ball,mountain,36,28,13,6,,1,26.55378,ball sports are any from of game or sport which feature a ball as part of play.,N/A,39.228805,0,8,8,8,1,Sports,Semantic,j,,,,,,,
