consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word22,word23,rt_22,rt_23
0,0,0,0,1,Consent1.png,A7OZPNXIVO1FX,001,2020-07-27_20h58.29.442,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A7OZPNXIVO1FX,001,2020-07-27_20h58.29.442,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A7OZPNXIVO1FX,001,2020-07-27_20h58.29.442,Fluency_Task,2020.1.2,Win32,60,space,0.791695,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A7OZPNXIVO1FX,001,2020-07-27_20h58.29.442,Fluency_Task,2020.1.2,Win32,60,space,4.072285,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A7OZPNXIVO1FX,001,2020-07-27_20h58.29.442,Fluency_Task,2020.1.2,Win32,60,space,1.571245,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A7OZPNXIVO1FX,001,2020-07-27_20h58.29.442,Fluency_Task,2020.1.2,Win32,60,space,0.50569,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A7OZPNXIVO1FX,001,2020-07-27_20h58.29.442,Fluency_Task,2020.1.2,Win32,60,space,0.678235,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A7OZPNXIVO1FX,001,2020-07-27_20h58.29.442,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,2,5.81436,menu,food,kitchen,waiters,chef,oven,microwave,deep fryer,customers,tables,chairs,forks,knives,spoons,bowls,plates,cups,straws,napkins,high chairs,chairs,85,84,83,81,78,71,69,67,64,63,62,58,57,56,55,53,51,46,44,36,31,1,2.98144,"I imagined myself sitting in a restaurant, and thought of the things I'd expect to see while I'm there.",p,1.494025,0,0,0,1,1,Things in a Restaurant,Spatial,p,,,,
,,,,,,A7OZPNXIVO1FX,001,2020-07-27_20h58.29.442,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cats,dogs,giraffe,octopus,shark,whale,crocodile,alligator,fish,deer,elk,elephant,bears,eagles,birds,chickens,cows,pigs,rhinoserous,goat,,86,85,83,79,78,77,71,69,64,59,57,53,45,40,38,27,24,21,15,9,,2,2.363485,"I tried to picture all the animals I imagine on farms, in the ocean, and inside zoos.",j,1.222055,0,1,1,6,1,Animals,Semantic,j,,,,
,,,,,,A7OZPNXIVO1FX,001,2020-07-27_20h58.29.442,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,front desk,computr,computer,chairs,desks,keyboard,host or hostess,papers,computer mouse,telephone,credit card machine,cash,chandelier,lamp,,,,,,,,83,82,80,71,70,63,43,39,31,27,21,20,6,4,,,,,,,,5,3.205965,I tried to remember the last time I was in a hotel and I tried to remember the things I remembered seeing while I was there.,j,2.19228,0,2,2,2,1,Things in a Hotel Lobby,Spatial,j,,,,
,,,,,,A7OZPNXIVO1FX,001,2020-07-27_20h58.29.442,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fun,fart,flip,flap,flu,fern,fan,frisk,frisky,front,fable,fasten,froth,fall,five,fifty,frown,flake,flute,fluke,fat,85,84,82,80,75,67,64,56,55,51,48,45,41,39,36,32,30,23,19,17,11,1,116.04543,"I just thought of the letter 'F'with different letters as the second letter, and tried to think of words by doing that.",p,1.211875,0,3,3,3,1,Words that start with F,Phonemic,p,first,flan,7,3
,,,,,,A7OZPNXIVO1FX,001,2020-07-27_20h58.29.442,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,start,sike,stall,swerve,slave,slut,slate,soliscit,soul,skill,still,spill,style,seize,seal,sale,stale,snail,sneeze,sell,stale,80,77,74,72,70,65,63,58,56,51,49,47,33,25,23,19,18,14,13,8,1,2,2.598885,"I just thought of the letter 's' with various letters as the second letter after it, to try to think up words easily.",p,1.09997,0,4,4,5,1,Words that start with S,Phonemic,p,,,,
,,,,,,A7OZPNXIVO1FX,001,2020-07-27_20h58.29.442,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,basketball,baseball,bowling,badmitton,tennis,volleyball,gymnastics,ballet,cheerleading,ice skating,softball,lacrosse,football,soccer,table tennis,,,,,,,85,84,83,78,77,75,72,71,69,64,54,52,48,44,37,,,,,,,4,4.418595,I tried to think of all the sports that I remember from High School and sports I remembered seeing in The Olympics,j,1.13365,0,5,5,8,1,Sports,Semantic,j,,,,
,,,,,,A7OZPNXIVO1FX,001,2020-07-27_20h58.29.442,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,ant,and,alternate,active,all,ache,aisle,ale,able,accord,accent,already,ace,alcove,are,arrive,affluent,add,,,,87,85,83,80,79,76,74,69,64,61,59,57,54,41,35,30,21,13,,,,2,1.83233,I just tried to think of all the letters that could come after the letter 'a' then figured out words from there,j,1.13103,0,6,6,4,1,Words that start with A,Phonemic,j,,,,
,,,,,,A7OZPNXIVO1FX,001,2020-07-27_20h58.29.442,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,bookkeeper,accountant,lawyer,businessman,ceo,secretary,administrator,nurse,doctor,physicians assistant,paralegal,scientist,teacher,professor,teachers aide,fashion model,phographer,makeup artis,hairstylist,painter,,86,83,82,77,75,72,64,62,60,57,53,49,46,44,42,27,23,21,16,13,,3,20.40981,I just tried really hard to think of the different professions that I've ever seen on Tv or in real life,p,1.34238,0,7,7,7,1,Occupations,Semantic,p,,,,
,,,,,,A7OZPNXIVO1FX,001,2020-07-27_20h58.29.442,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,bikes,cars,tools,junk,tires,screwdriver,toolbox,tire pump,wrench,cardboard boxes,magazines,,,,,,,,,,,86,85,84,75,70,59,58,50,18,12,6,,,,,,,,,,,6,2.57263,"I just tried to think of things I remembered being kept in my parents' garage and my friends parents' garages, as well as things I keep in my own garage.",j,1.421995,0,8,8,0,1,Things in a Garage,Spatial,j,,,,
