consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word14,word15,word16,word17,rt_14,rt_15,rt_16,rt_17
0,0,0,0,1,Consent1.png,A3LT7W355XOAKF,001,2020-07-27_15h28.44.690,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3LT7W355XOAKF,001,2020-07-27_15h28.44.690,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3LT7W355XOAKF,001,2020-07-27_15h28.44.690,Fluency_Task,2020.1.2,Win32,60,space,2.636,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3LT7W355XOAKF,001,2020-07-27_15h28.44.690,Fluency_Task,2020.1.2,Win32,60,space,47.473,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3LT7W355XOAKF,001,2020-07-27_15h28.44.690,Fluency_Task,2020.1.2,Win32,60,space,63.511,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3LT7W355XOAKF,001,2020-07-27_15h28.44.690,Fluency_Task,2020.1.2,Win32,60,space,35.047,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3LT7W355XOAKF,001,2020-07-27_15h28.44.690,Fluency_Task,2020.1.2,Win32,60,space,13.337,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3LT7W355XOAKF,001,2020-07-27_15h28.44.690,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,6.137,drill,car,ladder,lawn mower,paint cans,screen windows,storm windows,gas can,bicycle,motorcycle,rake,hoe,power tools,78,75,73,64,57,48,39,36,26,22,19,14,5,3,13.743,I imagined my gaage where Iwasa kidleftleftleftI imagined my garage when i was akid as I do not have a arage now,j,24.646,0,0,0,0,1,Things in a Garage,Spatial,j,,,,,,,,
,,,,,,A3LT7W355XOAKF,001,2020-07-27_15h28.44.690,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,giraffe,skunk,llama,lion,tiger,ct,dog,zebra,skunk,possum,beaver,ape,chimpanzee,83,81,78,73,71,69,56,51,48,43,38,31,27,1,3.812,I just thought of ones I already knew. It was very easy.,j,21.535,0,1,1,6,1,Animals,Semantic,j,squirrel,muskrat,pig,cow,19,9,2,1
,,,,,,A3LT7W355XOAKF,001,2020-07-27_15h28.44.690,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,astronaut,am,and,award,always,agree,answer,acknowledge,art,add,ash,amber,ax,79,75,73,70,61,56,54,38,26,17,15,7,3,1,48.311,At first I thought of whatever came in to my head. Then I looked at the keyboard and let that spur my memory.,j,3.268,0,2,2,4,1,Words that start with A,Phonemic,j,,,,,,,,
,,,,,,A3LT7W355XOAKF,001,2020-07-27_15h28.44.690,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,salt,pepper,napkins,tables,spoons,forks,knives,table cloths,carpet,windows,ceilings,waitresses,mea,82,81,78,75,70,68,64,58,53,51,47,43,40,1,4.686,I justthought of a typical restaurant I might be in.,p,3.952,0,3,3,1,1,Things in a Restaurant,Spatial,p,vegetables,restooms,meat,,34,19,15,
,,,,,,A3LT7W355XOAKF,001,2020-07-27_15h28.44.690,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,free,federal,freeze,frisbee,faucet,fish,fall,fat,fatal,find,freon,fan,family,81,77,72,62,54,50,45,39,34,29,20,15,12,1,2.704,I looked at the keyboard and let that spur my memory.,p,4.478,0,4,4,3,1,Words that start with F,Phonemic,p,favorite,,,,2,,,
,,,,,,A3LT7W355XOAKF,001,2020-07-27_15h28.44.690,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,surgeon,bus driver,mailman,welder,astronaut,nurse,cab driver,uber driver,pizza deliverer,lawyer,doctor,,,80,68,64,60,54,48,34,30,22,14,10,,,2,5.176,I just thought of them.,loption,2.99,0,5,5,7,1,Occupations,Semantic,p,,,,,,,,
,,,,,,A3LT7W355XOAKF,001,2020-07-27_15h28.44.690,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sun,shade,sattelite,she,sushi,sai,shell,shed,sure,sack,sick,salt,severe,82,80,73,69,62,60,57,49,43,40,38,29,23,1,2.316,They all popped in to my mind,p,2.792,0,6,6,5,1,Words that start with S,Phonemic,p,sil,soil,sold,,19,7,1,
,,,,,,A3LT7W355XOAKF,001,2020-07-27_15h28.44.690,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,baseball,tennis,football,soccer,golf,track,basketball,badminton,,,,,,74,71,65,55,44,34,26,14,,,,,,3,6.278,I just thought of ones I knew,loption,14.523,0,7,7,8,1,Sports,Semantic,j,,,,,,,,
,,,,,,A3LT7W355XOAKF,001,2020-07-27_15h28.44.690,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,carpet,ashtary,bellhop,chairs,tv,cellphone charger,fan,air conditioner,,,,,,84,79,67,62,60,45,34,19,,,,,,4,49.784,I just thought of them,j,2.174,0,8,8,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,
