consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word10,rt_10,word11,word12,word13,rt_11,rt_12,rt_13,word14,word15,word16,word17,word18,rt_14,rt_15,rt_16,rt_17,rt_18
0,0,0,0,1,Consent1.png,A1M1E62KXCDNL0,001,2020-07-27_17h16.37.541,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A1M1E62KXCDNL0,001,2020-07-27_17h16.37.541,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1M1E62KXCDNL0,001,2020-07-27_17h16.37.541,Fluency_Task,2020.1.2,Win32,60,space,2.17301,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1M1E62KXCDNL0,001,2020-07-27_17h16.37.541,Fluency_Task,2020.1.2,Win32,60,space,21.382255,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1M1E62KXCDNL0,001,2020-07-27_17h16.37.541,Fluency_Task,2020.1.2,Win32,60,space,22.632045,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1M1E62KXCDNL0,001,2020-07-27_17h16.37.541,Fluency_Task,2020.1.2,Win32,60,space,26.06756,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1M1E62KXCDNL0,001,2020-07-27_17h16.37.541,Fluency_Task,2020.1.2,Win32,60,space,60.335575,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1M1E62KXCDNL0,001,2020-07-27_17h16.37.541,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,11.35528,space,sadness,start,survival,spring,silly,sun,son,surface,80,74,72,57,49,44,37,33,5,4,10.523265,"I wrote wat came to my mind, I really didnt use any specific method",p,6.28384,0,0,0,5,1,Words that start with S,Phonemic,p,,,,,,,,,,,,,,,,,,
,,,,,,A1M1E62KXCDNL0,001,2020-07-27_17h16.37.541,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,ball,umpires,stadium,fanatics,players,rules,team,,,72,50,46,30,27,25,12,,,5,3.62782,I thought about a baseball stadium and I said the things that were there.,j,1.78413,0,1,1,8,1,Sports,Semantic,j,,,,,,,,,,,,,,,,,,
,,,,,,A1M1E62KXCDNL0,001,2020-07-27_17h16.37.541,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,spiders,,,,,,,,83,50,,,,,,,,7,5.66532,I tried to think about what was in my garage but few things came to my mind,j,1.81948,0,2,2,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,,,
