consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,word11,word12,word13,word14,word15
0,0,0,0,1,Consent1.png,A3UP4PP3ZF1J39,001,2020-07-27_17h24.57.203,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3UP4PP3ZF1J39,001,2020-07-27_17h24.57.203,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3UP4PP3ZF1J39,001,2020-07-27_17h24.57.203,Fluency_Task,2020.1.2,Win32,60,space,1.67107,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3UP4PP3ZF1J39,001,2020-07-27_17h24.57.203,Fluency_Task,2020.1.2,Win32,60,space,5.01095,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3UP4PP3ZF1J39,001,2020-07-27_17h24.57.203,Fluency_Task,2020.1.2,Win32,60,space,7.193635,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3UP4PP3ZF1J39,001,2020-07-27_17h24.57.203,Fluency_Task,2020.1.2,Win32,60,space,10.17657,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3UP4PP3ZF1J39,001,2020-07-27_17h24.57.203,Fluency_Task,2020.1.2,Win32,60,space,2.06329,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3UP4PP3ZF1J39,001,2020-07-27_17h24.57.203,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,4,20.54389,e ,saturate,situation,store,status,stuck,staff,sit,sick,save,79,61,51,34,29,21,15,12,8,5,1,7.71623,,p,3.295135,0,0,0,5,1,Words that start with S,Phonemic,p,,,,,,,,,,,,,,,,,
,,,,,,A3UP4PP3ZF1J39,001,2020-07-27_17h24.57.203,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,goal,dog,rabbit,cat,cock,,,,,,84,83,80,79,77,77,71,71,70,68,1,2.269835,,j,3.008315,0,1,1,6,1,Animals,Semantic,j,67,66,65,64,47,46,45,38,33,26,15,4,,,,,
,,,,,,A3UP4PP3ZF1J39,001,2020-07-27_17h24.57.203,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,store,drivers,passagers,cars,building ,parking space,dock,rest room,,,77,71,65,59,43,20,9,1,,,2,2.24767,shop,j,2.232565,0,2,2,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,,
,,,,,,A3UP4PP3ZF1J39,001,2020-07-27_17h24.57.203,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,food,meat,chairs,table,order,plates,center table,cup,spoon,coffee,87,81,78,73,63,50,38,27,23,17,3,2.061005,,p,2.592785,0,3,3,1,1,Things in a Restaurant,Spatial,p,10,4,0,,,,,,,,,,beef,meat,,,
,,,,,,A3UP4PP3ZF1J39,001,2020-07-27_17h24.57.203,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,reservation ,rest room,cashier,parking space,,,,,,,87,75,58,51,5,,,,,,3,1.87275,door,j,3.36323,0,4,4,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,,,,,,,
,,,,,,A3UP4PP3ZF1J39,001,2020-07-27_17h24.57.203,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,nurse ,doctor,lawyer,engineer,teacher,cobbler,waiter,pilot,helicopter combat,chef,72,68,63,54,50,44,38,31,17,9,2,2.20754,will is very important,return,2.02944,0,5,5,7,1,Occupations,Semantic,p,,,,,,,,,,,,,,,,,
,,,,,,A3UP4PP3ZF1J39,001,2020-07-27_17h24.57.203,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fat,father,farther,fuck,fast,fill,fit,foes,fight,frog,85,81,72,66,58,52,48,45,41,31,2,2.889905,this is the man we have been searching for in the house of our lord ,p,1.662015,0,6,6,3,1,Words that start with F,Phonemic,p,27,22,18,14,5,,,,,,,,fear,fun,funny,fall,fufiling
,,,,,,A3UP4PP3ZF1J39,001,2020-07-27_17h24.57.203,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,adore,agush,art,artistist,attitude,at,apart,apartment,apposition,,67,62,57,54,48,35,29,20,13,5,2,2.332745,,j,1.300255,0,7,7,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,,,,,,
,,,,,,A3UP4PP3ZF1J39,001,2020-07-27_17h24.57.203,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,football,volley ball,basketball,,,,,,,,76,56,49,,,,,,,,2,12.92071,this is the boy we are describing,j,1.440945,0,8,8,8,1,Sports,Semantic,j,,,,,,,,,,,,,,,,,
