consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word10,word11,word12,word13,word14,rt_10,rt_11,rt_12,rt_13,rt_14,word15,word16,word17,word18,rt_15,rt_16,rt_17,rt_18
0,0,0,0,1,Consent1.png,AOOLS8280CL0Z,001,2020-07-27_16h33.46.636,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,AOOLS8280CL0Z,001,2020-07-27_16h33.46.636,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AOOLS8280CL0Z,001,2020-07-27_16h33.46.636,Fluency_Task,2020.1.2,Win32,60,space,2.015125,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AOOLS8280CL0Z,001,2020-07-27_16h33.46.636,Fluency_Task,2020.1.2,Win32,60,space,11.855935,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AOOLS8280CL0Z,001,2020-07-27_16h33.46.636,Fluency_Task,2020.1.2,Win32,60,space,10.525035,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AOOLS8280CL0Z,001,2020-07-27_16h33.46.636,Fluency_Task,2020.1.2,Win32,60,space,20.38583,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AOOLS8280CL0Z,001,2020-07-27_16h33.46.636,Fluency_Task,2020.1.2,Win32,60,space,14.868965,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AOOLS8280CL0Z,001,2020-07-27_16h33.46.636,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,4,11.327845,desk,manager,chairs,brochures,ice machine,phone,monitor,map,valet,81,75,69,62,57,47,43,29,12,6,5.992725,I tried to visualize lobby,j,2.8356,0,0,0,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,,,,,,,,
,,,,,,AOOLS8280CL0Z,001,2020-07-27_16h33.46.636,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,dog ,cat,antelope,bison,rabbit,lion,tiger,bear,bird,82,80,75,73,69,67,64,61,55,5,4.49694,I just tuleft typed as they came into my head,j,1.566165,0,1,1,6,1,Animals,Semantic,j,zebra,giraffe,liger,timberwolf,deer,48,43,33,24,12,,,,,,,,
,,,,,,AOOLS8280CL0Z,001,2020-07-27_16h33.46.636,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,table,chair,dishes,plates,knife,fork,spoon,napkins,waiter,82,77,70,63,60,57,54,51,47,4,3.68194,I visualized a restaurant,p,1.59569,0,2,2,1,1,Things in a Restaurant,Spatial,p,waiteress,chef,kitchen,oven,fryer,42,38,34,31,28,dishwasher,cashier,salt,pepper,21,17,9,6
,,,,,,AOOLS8280CL0Z,001,2020-07-27_16h33.46.636,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,friend,foe,fire,fat,feature,forward,family,fist,flea,82,80,78,68,61,58,55,52,46,3,5.09291,I typed whatever popped into my head,p,1.489475,0,3,3,3,1,Words that start with F,Phonemic,p,fan,feet,far,feeble,fate,43,38,32,25,20,feminine,furniture,flee,,14,6,1,
,,,,,,AOOLS8280CL0Z,001,2020-07-27_16h33.46.636,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,soccer,basketball,lacrossee,tennis,football,volleyball,badminton,pingpong,swimming,84,80,77,72,67,57,46,29,26,4,3.22565,I typed what came into my head,j,1.896405,0,4,4,8,1,Sports,Semantic,j,running,baseball,,,,22,14,,,,,,,,,,,
,,,,,,AOOLS8280CL0Z,001,2020-07-27_16h33.46.636,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,secretary,doctor,nrse,paramedic,cashier,waitress,chef,engineer,technician,80,78,71,66,52,48,45,41,35,3,4.461785,I thought of  jobs family and friends have and other occupations that popped in my head,p,1.41631,0,5,5,7,1,Occupations,Semantic,p,mechanic,artist,dancer,singer,musician,30,25,21,18,15,teacher,,,,8,,,
,,,,,,AOOLS8280CL0Z,001,2020-07-27_16h33.46.636,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sugar,sweet,salt,salmon,seal,sole,sit,seat,savvy,79,75,72,69,66,61,54,49,43,4,3.847605,Mostly what popped into my head or another word that remeinded me by the previous word,p,1.48484,0,6,6,5,1,Words that start with S,Phonemic,p,sausage,steward,silly,special,singer,38,28,25,18,14,sordid,swimg,,,8,1,,
,,,,,,AOOLS8280CL0Z,001,2020-07-27_16h33.46.636,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,ant,antelope,amen,american,awe,and,always,away,aware,83,79,75,72,69,66,63,59,56,2,4.20822,Thought of different vowels after a to  use,j,2.118885,0,7,7,4,1,Words that start with A,Phonemic,j,amber,ate,ask,ale,add,39,36,33,24,19,ace,ade,aid,,15,3,0,
,,,,,,AOOLS8280CL0Z,001,2020-07-27_16h33.46.636,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,oil,tools,bench,lawnmowrer,boxes,bicycle,ladder,toys,84,82,79,73,66,57,50,45,40,3,3.10061,I pictured a garage and visualized what was in it,j,3.46475,0,8,8,0,1,Things in a Garage,Spatial,j,shovel,rake,broom,garbage,sink,36,34,30,11,3,,,,,,,,
