consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word17,word18,word19,word20,word21,word22,word23,word24,word25,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,rt_25
0,0,0,0,1,Consent1.png,A3LLOANE52R4LT,001,2020-07-27_15h47.27.024,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3LLOANE52R4LT,001,2020-07-27_15h47.27.024,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3LLOANE52R4LT,001,2020-07-27_15h47.27.024,Fluency_Task,2020.1.2,Win32,60,space,0.757,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3LLOANE52R4LT,001,2020-07-27_15h47.27.024,Fluency_Task,2020.1.2,Win32,60,space,23.456,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3LLOANE52R4LT,001,2020-07-27_15h47.27.024,Fluency_Task,2020.1.2,Win32,60,space,18.981,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3LLOANE52R4LT,001,2020-07-27_15h47.27.024,Fluency_Task,2020.1.2,Win32,60,space,10.725,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3LLOANE52R4LT,001,2020-07-27_15h47.27.024,Fluency_Task,2020.1.2,Win32,60,space,15.008,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3LLOANE52R4LT,001,2020-07-27_15h47.27.024,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,8.251,apple,ant,art,arch,atom,arc,archery,an,and,at,application,age,after,awe,ape,all,85,83,81,77,73,66,51,40,39,38,32,27,19,10,5,1,5,3.552,though of thing i encounter frequently ,j,6.149,0,0,0,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,,,,,,,
,,,,,,A3LLOANE52R4LT,001,2020-07-27_15h47.27.024,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,smart,start,star,sag,sig,sea,see,set,sat,seat,seal,seer,stab,stub,square,space,87,83,80,78,76,74,73,72,71,70,67,64,58,54,51,45,2,5.45,looking around at things and then finding words that are similar or rhyme,p,1.255,0,1,1,5,1,Words that start with S,Phonemic,p,spare,spark,speaker,section,stop,sun,saturn,sample,simple,43,40,33,24,17,14,9,4,2
,,,,,,A3LLOANE52R4LT,001,2020-07-27_15h47.27.024,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,banker,baseball player,therapist,teacher,construction worker,musician,underwriter,reporter,laywer,doctor,,,,,,,85,80,72,57,53,35,29,25,6,1,,,,,,,5,3.445,I was just trying to think of people i know and their jobs.,p,1.565,0,2,2,7,1,Occupations,Semantic,p,,,,,,,,,,,,,,,,,,
,,,,,,A3LLOANE52R4LT,001,2020-07-27_15h47.27.024,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,banana peel,wrappers,egg shells,crumbs,kleenex,baby wipes,diapers,masks,,,,,,,,,70,66,53,50,42,35,33,27,,,,,,,,,6,5.171,i was trying to picture what was in my garbage.,j,1.617,0,3,3,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,,,
,,,,,,A3LLOANE52R4LT,001,2020-07-27_15h47.27.024,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,tables,chairs,workers,glasses,plates,silverware,table clothes,good,food,laughter,people,drinks,draft beers,wine,tv,phones,86,85,83,79,78,75,66,59,56,48,45,39,26,24,19,9,2,2.485,I was thinking of the last restaurant I was in and put myself there looking around.,p,1.371,0,4,4,1,1,Things in a Restaurant,Spatial,p,excitement,,,,,,,,,2,,,,,,,,
,,,,,,A3LLOANE52R4LT,001,2020-07-27_15h47.27.024,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,baseball,basketball,tennis,football,soccer,hockey,badmittion,chess,ping pong,hurling,curling,swimming,gymnastics,archery,running,,83,80,78,76,74,68,61,56,53,48,38,35,27,14,1,,3,2.465,"I though of the major sports in America, and then I thought of olympic events.",j,1.126,0,5,5,8,1,Sports,Semantic,j,,,,,,,,,,,,,,,,,,
,,,,,,A3LLOANE52R4LT,001,2020-07-27_15h47.27.024,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,dog,cat,ant eater,bunny,turtle,geico,duck,cow,chicken,pig,rooster,snake,kangaroo,bear,tiger,lion,84,83,80,76,67,59,55,54,52,49,47,43,37,25,21,20,2,0.296,I thought of common animials and moved on to farm animals after that. Once i picked one animal i would try to think of others in the same family.,j,1.624,0,6,6,6,1,Animals,Semantic,j,cheeta,lepard,horse,donkey,,,,,,15,12,10,7,,,,,
,,,,,,A3LLOANE52R4LT,001,2020-07-27_15h47.27.024,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,food,fart,flag,freedom,forge,fight,finger,flame,fling,flat,floor,female,feminime,fake,for,fit,87,87,84,81,75,73,70,68,60,57,55,51,46,43,36,33,2,1.533,"Once i picked a word, i tried to associate it with another one.",p,1.097,0,7,7,3,1,Words that start with F,Phonemic,p,fig,fib,few,fur,flop,flip,fondue,,,31,26,21,19,14,12,4,,
,,,,,,A3LLOANE52R4LT,001,2020-07-27_15h47.27.024,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,couch,chair,carpet,counter,phone,lights,elevator,workers,car keys,credit card readers,people,dresses,arguing,laugher,plants,statues,85,83,81,80,78,77,73,70,67,60,59,42,35,33,25,16,4,1.574,i tried to picture myself at a hotel,j,1.399,0,8,8,2,1,Things in a Hotel Lobby,Spatial,j,lamps,tables,,,,,,,,12,10,,,,,,,
