consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word8,word9,word10,word11,word12,word13,word14,word15,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16
0,0,0,0,1,Consent1.png,A2XYUN0A8VDYFY,001,2020-07-27_18h22.28.227,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A2XYUN0A8VDYFY,001,2020-07-27_18h22.28.227,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2XYUN0A8VDYFY,001,2020-07-27_18h22.28.227,Fluency_Task,2020.1.2,Win32,60,space,0.97696,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2XYUN0A8VDYFY,001,2020-07-27_18h22.28.227,Fluency_Task,2020.1.2,Win32,60,space,0.237505,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2XYUN0A8VDYFY,001,2020-07-27_18h22.28.227,Fluency_Task,2020.1.2,Win32,60,space,1.280495,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2XYUN0A8VDYFY,001,2020-07-27_18h22.28.227,Fluency_Task,2020.1.2,Win32,60,space,34.269635,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2XYUN0A8VDYFY,001,2020-07-27_18h22.28.227,Fluency_Task,2020.1.2,Win32,60,space,6.43798,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2XYUN0A8VDYFY,001,2020-07-27_18h22.28.227,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,1,43.01259,table,chair,fan,wateer,bathroom,wash room,cooking things,66,61,58,50,37,31,16,1,4.761925,,o,2.026815,0,0,0,1,1,Things in a Restaurant,Spatial,p,,,,,,,,,,,,,,,,,
,,,,,,A2XYUN0A8VDYFY,001,2020-07-27_18h22.28.227,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cook,eat,taste,bring,cut,share,make,68,57,54,47,42,37,34,7,4.02164,,j,1.955035,0,1,1,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,,
,,,,,,A2XYUN0A8VDYFY,001,2020-07-27_18h22.28.227,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fish,fly,fired,form,for,formala,father,89,83,78,74,69,66,60,7,7.30889,use parts,p,1.584205,0,2,2,3,1,Words that start with F,Phonemic,p,fox,force,foces,flame,figer,fine,flow,found,53,50,44,37,32,27,18,8,2
