consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26,rt_27
0,0,0,0,1,Consent1.png,A2LQ9NP944M61Z,001,2020-07-27_17h38.41.326,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A2LQ9NP944M61Z,001,2020-07-27_17h38.41.326,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2LQ9NP944M61Z,001,2020-07-27_17h38.41.326,Fluency_Task,2020.1.2,Win32,60,space,1.00906,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2LQ9NP944M61Z,001,2020-07-27_17h38.41.326,Fluency_Task,2020.1.2,Win32,60,space,7.04704,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2LQ9NP944M61Z,001,2020-07-27_17h38.41.326,Fluency_Task,2020.1.2,Win32,60,space,3.01914,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2LQ9NP944M61Z,001,2020-07-27_17h38.41.326,Fluency_Task,2020.1.2,Win32,60,space,4.0798,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2LQ9NP944M61Z,001,2020-07-27_17h38.41.326,Fluency_Task,2020.1.2,Win32,60,space,7.42106,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2LQ9NP944M61Z,001,2020-07-27_17h38.41.326,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,2,7.660875,spoon,fork,cup,water,waiter,waitress,cash register,plate,table cloth,condiments,82,80,78,77,76,74,72,68,56,53,36,35,3,3.21854,I thought about what I would see when I walked in and would be seated.,p,2.251255,0,0,0,1,1,Things in a Restaurant,Spatial,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2LQ9NP944M61Z,001,2020-07-27_17h38.41.326,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,snake,spoon,sorbet,strand,sick,snack,string,silly,sad,scorn,84,81,79,74,73,71,69,67,65,61,59,15,4,2.022835,I just thought of words in my head and looked around to see.,p,0.86034,0,1,1,5,1,Words that start with S,Phonemic,p,sit,stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2LQ9NP944M61Z,001,2020-07-27_17h38.41.326,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,ant,argon,air,an,a,area,amputate,,,79,72,66,52,42,42,35,22,,,,,5,1.3829,I thought of fruits then elements and animals or bugs.,j,0.79606,0,2,2,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2LQ9NP944M61Z,001,2020-07-27_17h38.41.326,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,doctor,nurse,radiologist,surgeon,janitor,receptionist,security,,,,86,83,81,72,65,59,11,,,,,,6,1.33056,I thought of jobs in a hospital.,p,0.71196,0,3,3,7,1,Occupations,Semantic,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2LQ9NP944M61Z,001,2020-07-27_17h38.41.326,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cat,dog,mouse,wolf,cheetah,snake,tiger,lion,hyena,frog,85,84,82,81,80,78,76,75,71,68,67,65,2,2.14225,I thought of locations and what animals would be there.,j,0.797815,0,4,4,6,1,Animals,Semantic,j,cow,bear,sheep,lamb,pig,chicken,duck,horse,racoon,gopher,squirrel,bird,lizard,panda,gorilla,monkey,alligator,63,61,57,56,52,48,40,37,35,34,30,26,23,22,19
,,,,,,A2LQ9NP944M61Z,001,2020-07-27_17h38.41.326,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,receptionit,lights,rugs,chairs,desks,computers,phones,pens,security,,85,84,83,82,81,77,76,75,72,,,,6,3.218145,I imagined myself walking in a lobby and what I would see.,j,0.80459,0,5,5,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2LQ9NP944M61Z,001,2020-07-27_17h38.41.326,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,funny,fat,fridge,frog,fern,fur,foot,fit,ferocious,frantic,86,83,80,80,76,75,74,71,68,65,63,59,5,3.384175,I tried to think of emotions or sounded out words after adding a letter to f.,p,0.805555,0,6,6,3,1,Words that start with F,Phonemic,p,fatality,fatal,fitted,furnace,fact,factor,factorial,,,,,,,,,,,55,50,48,47,45,,,,,,,,,,
,,,,,,A2LQ9NP944M61Z,001,2020-07-27_17h38.41.326,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,paint,car,hammer,wrench,ratchet,table,saw,ladder,leveler,chainsaw,88,87,86,83,82,81,78,77,74,69,66,63,5,2.527315,I imagined the items I could see in my garage.,j,0.679155,0,7,7,0,1,Things in a Garage,Spatial,j,screwdriver,nails,tools,sledgehammer,gun,fridge,,,,,,,,,,,,61,59,55,54,53,,,,,,,,,,
,,,,,,A2LQ9NP944M61Z,001,2020-07-27_17h38.41.326,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,basketball,soccer,baseball,football,tennis,volleyball,ratchetball,rugby,badminton,hockey,85,83,81,79,73,72,70,64,60,57,,,4,3.998165,I thought of sports that I have seen on Tv.,j,0.7404,0,8,8,8,1,Sports,Semantic,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
