consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word14,word15,word16,word17,word18,word19,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,word20,rt_20,word21,word22,word23,word24,word25,rt_21,rt_22,rt_23,rt_24,rt_25
0,0,0,0,1,Consent1.png,A2TXZVXQU5FQZ9,001,2020-07-27_13h47.16.852,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A2TXZVXQU5FQZ9,001,2020-07-27_13h47.16.852,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2TXZVXQU5FQZ9,001,2020-07-27_13h47.16.852,Fluency_Task,2020.1.2,Win32,60,space,1.321395,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2TXZVXQU5FQZ9,001,2020-07-27_13h47.16.852,Fluency_Task,2020.1.2,Win32,60,space,11.808015,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2TXZVXQU5FQZ9,001,2020-07-27_13h47.16.852,Fluency_Task,2020.1.2,Win32,60,space,16.15797,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2TXZVXQU5FQZ9,001,2020-07-27_13h47.16.852,Fluency_Task,2020.1.2,Win32,60,space,18.07256,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2TXZVXQU5FQZ9,001,2020-07-27_13h47.16.852,Fluency_Task,2020.1.2,Win32,60,space,17.02324,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2TXZVXQU5FQZ9,001,2020-07-27_13h47.16.852,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,7.575865,taxi driver,garbage person,secretary,bus driver,mayor,analyst,day trader,gardener,professor,doctor,nurse,dentist,manager,83,79,73,67,60,57,54,47,36,20,19,17,3,4,4.159125,Thought of job I might see on a daily basis.,p,1.8019,0,0,0,7,1,Occupations,Semantic,p,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2TXZVXQU5FQZ9,001,2020-07-27_13h47.16.852,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,said,sand,sap,sad,sack,safe,sage,sanity,sate,sat,save,saw,say,82,77,74,71,64,60,58,48,43,41,39,38,36,3,2.81217,Chose a vowel then went through the alphabet.,p,1.38667,0,1,1,5,1,Words that start with S,Phonemic,p,secretary,seed,segue,sir,sit,sizzle,26,22,16,9,6,3,,,,,,,,,,,,
,,,,,,A2TXZVXQU5FQZ9,001,2020-07-27_13h47.16.852,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,far,fabulous,face,farce,fade,fad,feed,fast,fawn,favor,faze,fee,feel,83,78,76,74,72,71,64,52,49,46,42,39,32,3,1.296655,Chose a vowel and went through alphabet.,p,1.07565,0,2,2,3,1,Words that start with F,Phonemic,p,feckless,feeble,feear,fear,foot,food,27,24,18,16,6,5,fun,2,,,,,,,,,,
,,,,,,A2TXZVXQU5FQZ9,001,2020-07-27_13h47.16.852,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sofa,desk,chairs,chandelier,doors,bellboy,employees,carpet,directory,elevator,coffee table,food,tv,85,83,79,77,73,66,59,55,50,48,39,37,32,4,0.708385,Placed myself in the scene.,j,1.562335,0,3,3,2,1,Things in a Hotel Lobby,Spatial,j,vending machine,register,,,,,24,12,,,,,,,,,,,,,,,,
,,,,,,A2TXZVXQU5FQZ9,001,2020-07-27_13h47.16.852,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,aardvark,donkey,bear,boar,cat,dog,elk,bird,opossum,raccoon,rabbit,goat,chicken,82,80,77,75,72,71,69,63,55,51,49,47,45,3,1.30515,Placed myself in different outdoor settings.,j,1.40412,0,4,4,6,1,Animals,Semantic,j,cow,hamster,iguana,snake,alligator,elephant,43,35,33,32,31,25,cougar,23,coyote,wolf,lion,tiger,kangaroo,18,17,12,10,4
,,,,,,A2TXZVXQU5FQZ9,001,2020-07-27_13h47.16.852,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,baseball,basketball,football,soccer,bowling,golf,hockey,track and field,cornhole,archery,racing,skating,surfing,79,76,74,71,68,67,45,36,30,27,20,16,12,5,3.414085,Thought of sports highlights.,j,1.30357,0,5,5,8,1,Sports,Semantic,j,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2TXZVXQU5FQZ9,001,2020-07-27_13h47.16.852,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,toolbox,car,lights,duct tape,drill,screwdriver,wrench,freezer,boxes,saw,compressor,electrical tape,ladder,84,83,78,73,71,68,64,51,45,37,31,13,7,4,1.470215,Thought of my dad's garage.,j,1.037185,0,6,6,0,1,Things in a Garage,Spatial,j,stool,,,,,,3,,,,,,,,,,,,,,,,,
