consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET
0,0,0,0,1,Consent1.png,A90G0G4SJ26BM,001,2020-07-27_16h34.30.181,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A90G0G4SJ26BM,001,2020-07-27_16h34.30.181,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A90G0G4SJ26BM,001,2020-07-27_16h34.30.181,Fluency_Task,2020.1.2,Win32,60,space,1.195695,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A90G0G4SJ26BM,001,2020-07-27_16h34.30.181,Fluency_Task,2020.1.2,Win32,60,space,11.924595,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A90G0G4SJ26BM,001,2020-07-27_16h34.30.181,Fluency_Task,2020.1.2,Win32,60,space,18.46937,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A90G0G4SJ26BM,001,2020-07-27_16h34.30.181,Fluency_Task,2020.1.2,Win32,60,space,17.344645,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A90G0G4SJ26BM,001,2020-07-27_16h34.30.181,Fluency_Task,2020.1.2,Win32,60,space,9.12429,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A90G0G4SJ26BM,001,2020-07-27_16h34.30.181,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,5.51517,strat,spoke,spear,stamp,sanitizer,sandwich,salmon,sand,staple,station,statue,sign,shirt,shorts,shingles,shit,shack,socks,space,85,76,73,73,70,62,57,55,52,48,45,41,30,27,25,20,15,11,9,3,3,2.77873,I just followed my gut,p,1.403725,0,0,0,5,1,Words that start with S,Phonemic,p
,,,,,,A90G0G4SJ26BM,001,2020-07-27_16h34.30.181,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,doctor,lawyer,plumber,player,consultant,marketer,therpist,clerk,ceo,owner,pilot,driver,teacher,painter,singer,raper,,,,83,81,76,71,67,64,57,53,49,46,39,37,29,22,20,16,,,,,6,3.692555,Just followed my gut,p,1.023685,0,1,1,7,1,Occupations,Semantic,p
,,,,,,A90G0G4SJ26BM,001,2020-07-27_16h34.30.181,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,desk,people,floor,tv,elevator,door,electericty,keys,bags,cup,computer,,,,,,,,,86,85,81,79,73,71,65,60,58,47,11,,,,,,,,,,7,13.938635,I imagined being the lobby,j,8.73048,0,2,2,2,1,Things in a Hotel Lobby,Spatial,j
,,,,,,A90G0G4SJ26BM,001,2020-07-27_16h34.30.181,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,basketball,football,soccer,baseball,tennis,handball,wrestling,frisbee,bandminton,kickball,raquetball,racing,water polo,gynastics,,,,,,85,82,81,76,74,72,67,62,58,52,43,40,35,30,,,,,,,7,232.387695,I imgained everything i knew,j,1.484305,0,3,3,8,1,Sports,Semantic,j
,,,,,,A90G0G4SJ26BM,001,2020-07-27_16h34.30.181,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,food,people,tables,money,staff,chairs,bathrooms,water,telephone,forks,spoons,knifes,,,,,,,,86,85,82,78,73,70,61,59,13,8,5,3,,,,,,,,,6,2.60433,I imagined being in a restaurant,p,1.33851,0,4,4,1,1,Things in a Restaurant,Spatial,p
,,,,,,A90G0G4SJ26BM,001,2020-07-27_16h34.30.181,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,zebra,dog,cat,skunk,lion,tiger,bear,cheetah,fish,dolphin,bird,snanke,snake,rat,whale,shark,,,,91,56,54,53,50,45,44,42,29,25,21,19,15,13,11,7,4,,,,2,2.238805,just followed my gut,j,1.17638,0,5,5,6,1,Animals,Semantic,j
,,,,,,A90G0G4SJ26BM,001,2020-07-27_16h34.30.181,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,tires,wrench,screwdriver,light,paint,garbage pale,,,,,,,,,,,,,87,85,82,77,69,66,58,,,,,,,,,,,,,,2,31.92352,just let it come to me,j,1.58735,0,6,6,0,1,Things in a Garage,Spatial,j
,,,,,,A90G0G4SJ26BM,001,2020-07-27_16h34.30.181,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,art,ant,animal,anguish,at,apple,ads,advertising,adjective,anomoly,annoyomus,angel,attic,antique,ash,ashtry,ashy,ashes,atom,86,82,79,71,66,63,56,51,47,40,36,34,31,26,22,20,18,15,9,,6,1.773835,just let it come to me,j,1.23179,0,7,7,4,1,Words that start with A,Phonemic,j
,,,,,,A90G0G4SJ26BM,001,2020-07-27_16h34.30.181,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,frank,fab,faboulus,fantastic,free,fresh,finsh,feen,fly,flee,fee,fame,fazw,faze,famous,fleet,fabric,finsh,,86,84,80,78,75,69,65,62,55,47,42,34,30,28,21,14,10,5,,,7,1.617465,just let it flow,p,0.814065,0,8,8,3,1,Words that start with F,Phonemic,p
