consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word13,word14,word15,rt_13,rt_14,rt_15,word16,word17,rt_16,rt_17,word18,rt_18
0,0,0,0,1,Consent1.png,A35UAZ5IKU14XW,001,2020-07-27_16h21.27.131,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A35UAZ5IKU14XW,001,2020-07-27_16h21.27.131,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A35UAZ5IKU14XW,001,2020-07-27_16h21.27.131,Fluency_Task,2020.1.2,Win32,60,space,2.141615,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A35UAZ5IKU14XW,001,2020-07-27_16h21.27.131,Fluency_Task,2020.1.2,Win32,60,space,17.664055,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A35UAZ5IKU14XW,001,2020-07-27_16h21.27.131,Fluency_Task,2020.1.2,Win32,60,space,10.178385,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A35UAZ5IKU14XW,001,2020-07-27_16h21.27.131,Fluency_Task,2020.1.2,Win32,60,space,23.531245,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A35UAZ5IKU14XW,001,2020-07-27_16h21.27.131,Fluency_Task,2020.1.2,Win32,60,space,14.859685,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A35UAZ5IKU14XW,001,2020-07-27_16h21.27.131,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,5.75327,hockey,tennis,swimming,basketball,golfing,football,paintball,pickleball,wrestling,running,marathon,jogging,82,80,77,74,68,63,51,47,33,19,7,1,5,5.31892,First I started thinking about broadcast sports and sports I'd seen and then tried to branch from there.,j,2.935965,0,0,0,8,1,Sports,Semantic,j,,,,,,,,,,,,
,,,,,,A35UAZ5IKU14XW,001,2020-07-27_16h21.27.131,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,pharmacist,doctor,counselor,attorney,secretary,technician,maid,waitress,chef,cook,government worker,engineer,83,82,79,77,74,69,66,57,55,53,37,23,4,6.311845,I tried to think of college majors and occupations people I knew were employed in.,p,2.216955,0,1,1,7,1,Occupations,Semantic,p,social work,business owner,programmer,17,8,0,,,,,,
,,,,,,A35UAZ5IKU14XW,001,2020-07-27_16h21.27.131,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,snake,snail,serpent,simian,songbird,,,,,,,,85,84,77,51,32,,,,,,,,7,2.20065,I just tried to think of any animal I could.  Very few came to mind starting with S.,p,1.611215,0,2,2,5,1,Words that start with S,Phonemic,p,,,,,,,,,,,,
,,,,,,A35UAZ5IKU14XW,001,2020-07-27_16h21.27.131,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,placemats,tablecloth,waiter,glasses,plates,silverware,oven,sink,dishwasher,fryer,salad bar,chairs,83,80,76,75,73,69,66,63,60,53,41,27,4,3.341515,I pictured myself in a restaurant and tried to mentally look around.,p,1.57834,0,3,3,1,1,Things in a Restaurant,Spatial,p,tables,coffee pot,wine,26,19,15,alcohol,food,9,7,,
,,,,,,A35UAZ5IKU14XW,001,2020-07-27_16h21.27.131,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,dog,cat,bird,rat,tiger,lion,llama,gerbil,hamster,mouse,racoon,leopard,85,84,83,81,79,77,75,68,66,65,61,58,3,5.67488,First I tried to picture animals in my everyday life and then tried to branch out to include zoos.,j,1.83215,0,4,4,6,1,Animals,Semantic,j,lion,penguin,duck,53,44,34,swan,rodent,31,20,squirrel,8
,,,,,,A35UAZ5IKU14XW,001,2020-07-27_16h21.27.131,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,motorcycle,storage,freezer,tools,shelves,boxes,tricycle,bicycle,electric outlet,cement,oil,85,81,78,75,71,69,67,63,60,43,38,34,4,3.52878,I tried to picture a garage and then just imagined all the things people put in there.,j,2.523655,0,5,5,0,1,Things in a Garage,Spatial,j,gas,workbench,garden tools,32,26,20,atv,snow mobile,5,1,,
,,,,,,A35UAZ5IKU14XW,001,2020-07-27_16h21.27.131,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,freak,fantasy,famrer,foster,family,fig,future,fog,freak,forest,,,45,43,38,34,31,29,27,25,19,11,,,4,11.138915,I think I was a little more fatigued on this and so was slower at coming up with a strategy.  I just tried to think F in my head.,p,2.98692,0,6,6,3,1,Words that start with F,Phonemic,p,,,,,,,,,,,,
,,,,,,A35UAZ5IKU14XW,001,2020-07-27_16h21.27.131,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,chairs,table,pamphlets,tv,desk,mail boxes,phone,magazines,carpet,people,cashier,concierge,86,84,81,80,72,66,64,59,50,47,41,37,4,3.68119,I tried to picture myself in a hotel lobby and looked around.,j,1.90389,0,7,7,2,1,Things in a Hotel Lobby,Spatial,j,keys,luggage,wallpaper,28,17,8,pictures,,3,,,
,,,,,,A35UAZ5IKU14XW,001,2020-07-27_16h21.27.131,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,aardvark,asp,aspirin,arch,arc,apply,author,artist,amateur,,,85,82,71,69,62,60,51,39,34,29,,,5,2.01664,The category was so broad that I think I got stuck.  I mainly just tried to think of A sounds.,j,2.27999,0,8,8,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,
