consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word12,word13,word14,word15,word16,rt_12,rt_13,rt_14,rt_15,rt_16
0,0,0,0,1,Consent1.png,AZNIEFUIVB2H0,001,2020-07-27_16h22.37.132,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,AZNIEFUIVB2H0,001,2020-07-27_16h22.37.132,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AZNIEFUIVB2H0,001,2020-07-27_16h22.37.132,Fluency_Task,2020.1.2,Win32,60,space,1.383,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AZNIEFUIVB2H0,001,2020-07-27_16h22.37.132,Fluency_Task,2020.1.2,Win32,60,space,23.957,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AZNIEFUIVB2H0,001,2020-07-27_16h22.37.132,Fluency_Task,2020.1.2,Win32,60,space,15.367,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AZNIEFUIVB2H0,001,2020-07-27_16h22.37.132,Fluency_Task,2020.1.2,Win32,60,space,62.797,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AZNIEFUIVB2H0,001,2020-07-27_16h22.37.132,Fluency_Task,2020.1.2,Win32,60,space,22.118,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AZNIEFUIVB2H0,001,2020-07-27_16h22.37.132,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,5.358,baseball,basketball,soccer,vollyball,tennis,curling,skiing,ice skating,snowbording,skateboarding,rugby,75,71,67,63,60,55,32,22,17,8,0,3,7.374,Commonly played sports on television,j,5.372,0,0,0,8,1,Sports,Semantic,j,,,,,,,,,,
,,,,,,AZNIEFUIVB2H0,001,2020-07-27_16h22.37.132,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,dog,cat,rat,mouse,squirrel,rabbit,skunk,bird,elephant,lion,tiger,84,82,76,72,69,66,63,58,44,42,36,4,3.782,Whatever popped in my head,j,2.104,0,1,1,6,1,Animals,Semantic,j,giraffe,warthog,bear,wolf,bison,23,18,11,6,2
,,,,,,AZNIEFUIVB2H0,001,2020-07-27_16h22.37.132,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,doctor,lawyer,cop,engineer,writer,salesperson,astronaut,pilot,stewardess,guard,,80,75,70,60,56,28,20,16,7,1,,3,3.652,Though of a generic job and whatever popped in my head afterwards.,p,1.72,0,2,2,7,1,Occupations,Semantic,p,,,,,,,,,,
,,,,,,AZNIEFUIVB2H0,001,2020-07-27_16h22.37.132,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,steam,stream,site,sad,sit,show,seem,said,sorry,sap,sat,80,77,69,67,62,57,51,48,44,39,36,2,1.704,Thought about letters in the alphabet starting with a.,p,1.575,0,3,3,5,1,Words that start with S,Phonemic,p,same,save,,,,19,10,,,
,,,,,,AZNIEFUIVB2H0,001,2020-07-27_16h22.37.132,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,carpet,desk,plants,chairs,tables,telephone,elevators,doors,vending machines,,,84,81,78,75,71,68,63,57,48,36,,2,1.246,I tried to visualize the location,j,1.667,0,4,4,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,
,,,,,,AZNIEFUIVB2H0,001,2020-07-27_16h22.37.132,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,at,awkward,asp,above,ant,argue,accomplish,accept,abide,adept,agree,78,74,70,59,54,48,43,40,11,6,3,3,1.63,Whatever popped in my head.,j,1.708,0,5,5,4,1,Words that start with A,Phonemic,j,,,,,,,,,,
,,,,,,AZNIEFUIVB2H0,001,2020-07-27_16h22.37.132,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,tools,oil cans,lifts,fans,,,,,,,83,80,68,44,39,,,,,,,1,2.088,Though about working on a car,j,0.962,0,6,6,0,1,Things in a Garage,Spatial,j,,,,,,,,,,
,,,,,,AZNIEFUIVB2H0,001,2020-07-27_16h22.37.132,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,dishes,tables,chairs,glasses,silverware,napkins,coat rack,waitresses,cashiers,,,81,76,74,59,55,50,23,14,10,,,4,6.771,Thought about sitting at the location.,p,1.192,0,7,7,1,1,Things in a Restaurant,Spatial,p,,,,,,,,,,
,,,,,,AZNIEFUIVB2H0,001,2020-07-27_16h22.37.132,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fan,fall,fallow,fervid,fop,fat,fart,flip,fancy,fallacy,fever,84,76,71,67,62,58,52,39,36,31,24,4,4.453,I went with whatever popped in my head.,p,1.601,0,8,8,3,1,Words that start with F,Phonemic,p,fantastic,fussy,,,,20,2,,,
