consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word17,word18,word19,word20,rt_17,rt_18,rt_19,rt_20
0,0,0,0,1,Consent1.png,A26LOVXF4QZZCO,001,2020-07-27_22h09.39.222,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A26LOVXF4QZZCO,001,2020-07-27_22h09.39.222,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A26LOVXF4QZZCO,001,2020-07-27_22h09.39.222,Fluency_Task,2020.1.2,Win32,60,space,1.67148,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A26LOVXF4QZZCO,001,2020-07-27_22h09.39.222,Fluency_Task,2020.1.2,Win32,60,space,24.83062,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A26LOVXF4QZZCO,001,2020-07-27_22h09.39.222,Fluency_Task,2020.1.2,Win32,60,space,13.42699,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A26LOVXF4QZZCO,001,2020-07-27_22h09.39.222,Fluency_Task,2020.1.2,Win32,60,space,29.796055,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A26LOVXF4QZZCO,001,2020-07-27_22h09.39.222,Fluency_Task,2020.1.2,Win32,60,space,12.63372,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A26LOVXF4QZZCO,001,2020-07-27_22h09.39.222,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,5.631355,accountant,engineer,foreman,ceo,receptionist,cfo,office manager,clerk,caterer,carpenter,laborer,interior designer,surveyor,machinist,mechanic,financial analyst,83,80,76,72,66,62,52,49,43,39,35,29,25,15,9,2,1,4.027765,I mostly thought about people at my work and then I just wrote down whatever popped into my head.,p,2.792755,0,0,0,7,1,Occupations,Semantic,p,,,,,,,,
,,,,,,A26LOVXF4QZZCO,001,2020-07-27_22h09.39.222,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,table,chairs,tablecloth,forks ,spoons,knives,lights,menus,bar,freezer,oven,cups,dishwasher,towels,pans,,84,82,73,71,68,63,58,55,51,46,43,24,12,7,3,,2,2.00064,I did a mental walkthrough of sitting at a table at a restaurant and then getting up and just kind of trying to notice things.,p,2.368,0,1,1,1,1,Things in a Restaurant,Spatial,p,,,,,,,,
,,,,,,A26LOVXF4QZZCO,001,2020-07-27_22h09.39.222,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,dog,cat,lion,tiger,cheetah,leopard,panther,cougar,bobcat,cercal,alpaca,monkey,gorilla,alligator,crocodile,caimen,86,84,82,80,77,75,72,69,62,60,49,41,34,30,25,22,1,5.024795,I went on a cat tangent and then I just started writing whatever popped into my head.,j,3.45076,0,2,2,6,1,Animals,Semantic,j,manatee,dolphin,whale,raccoon,14,10,8,1
