consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word8,rt_8,word9,word10,word11,rt_9,rt_10,rt_11,word12,word13,word14,rt_12,rt_13,rt_14
0,0,0,0,1,Consent1.png,AR1T4YC5TD8NK,001,2020-07-27_14h17.50.664,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,AR1T4YC5TD8NK,001,2020-07-27_14h17.50.664,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AR1T4YC5TD8NK,001,2020-07-27_14h17.50.664,Fluency_Task,2020.1.2,Win32,60,space,3.99732,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AR1T4YC5TD8NK,001,2020-07-27_14h17.50.664,Fluency_Task,2020.1.2,Win32,60,space,28.71224,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AR1T4YC5TD8NK,001,2020-07-27_14h17.50.664,Fluency_Task,2020.1.2,Win32,60,space,47.811415,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AR1T4YC5TD8NK,001,2020-07-27_14h17.50.664,Fluency_Task,2020.1.2,Win32,60,space,41.96071,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AR1T4YC5TD8NK,001,2020-07-27_14h17.50.664,Fluency_Task,2020.1.2,Win32,60,space,46.04405,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AR1T4YC5TD8NK,001,2020-07-27_14h17.50.664,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,25.943485,table,chair,newpaper,water,landline,diary,system,73,70,65,55,46,41,36,5,69.63251,"Last week i visited hotel, and i saw those items",j,4.357005,0,0,0,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,,,,
,,,,,,AR1T4YC5TD8NK,001,2020-07-27_14h17.50.664,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,lion,tiger,cat,dog,cow,rabbit,horse,85,81,74,72,67,33,26,6,4.52222,it just thinking ,j,3.10294,0,1,1,6,1,Animals,Semantic,j,hen,6,,,,,,,,,,,,
,,,,,,AR1T4YC5TD8NK,001,2020-07-27_14h17.50.664,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,animal,angry,above,answer,accounts,average,adjustment,83,79,71,65,51,44,39,5,6.055185,just i thinking about this letter,j,1.95933,0,2,2,4,1,Words that start with A,Phonemic,j,awareness,31,angel,algorithm,allow,25,13,5,,,,,,
,,,,,,AR1T4YC5TD8NK,001,2020-07-27_14h17.50.664,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,table,chair,bed,bedsheet,pillow,toilet,water,80,78,76,71,68,64,56,5,2.8633,"when i visit the hotel, just i recall it.",p,2.82028,0,3,3,1,1,Things in a Restaurant,Spatial,p,telephone,51,tv,airconditioner,waterheater,50,41,30,food,cooldrinks,plate,13,8,1
,,,,,,AR1T4YC5TD8NK,001,2020-07-27_14h17.50.664,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,symbol,synonym,stress,stritches,sample,simple,soap,83,78,73,65,46,42,36,4,4.662,just i thinking about that,p,1.779685,0,4,4,5,1,Words that start with S,Phonemic,p,soak,29,,,,,,,,,,,,
,,,,,,AR1T4YC5TD8NK,001,2020-07-27_14h17.50.664,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,software,engineer,it,former,accountant,servant,lawer,79,74,70,64,49,42,25,5,2.98036,I thinking about it,p,2.03612,0,5,5,7,1,Occupations,Semantic,p,doctor,16,nurse,,,7,,,,,,,,
,,,,,,AR1T4YC5TD8NK,001,2020-07-27_14h17.50.664,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,ladder,garbage cans,gloves,spiders,dustpan,basketball,,57,46,38,32,23,7,,5,5.71607,i thinking about it,j,2.309665,0,6,6,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,
,,,,,,AR1T4YC5TD8NK,001,2020-07-27_14h17.50.664,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fun,fan,former,famouse,face,fact,fail,85,83,76,68,38,35,30,6,4.30373,i thinking about it,p,1.637025,0,7,7,3,1,Words that start with F,Phonemic,p,fair,26,fact,,,12,,,,,,,,
,,,,,,AR1T4YC5TD8NK,001,2020-07-27_14h17.50.664,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cricket,soccer,basketball,hockey,tennis,baseball,golf,81,58,52,45,41,33,15,4,3.96522,i watched in Tv,j,1.76975,0,8,8,8,1,Sports,Semantic,j,football,7,,,,,,,,,,,,
