consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word15,word16,word17,word18,word19,word20,word21,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21
0,0,0,0,1,Consent1.png,A3L2FPKRD46FRW,001,2020-07-27_21h54.30.884,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3L2FPKRD46FRW,001,2020-07-27_21h54.30.884,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3L2FPKRD46FRW,001,2020-07-27_21h54.30.884,Fluency_Task,2020.1.2,Win32,60,space,1.375035,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3L2FPKRD46FRW,001,2020-07-27_21h54.30.884,Fluency_Task,2020.1.2,Win32,60,space,50.38305,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3L2FPKRD46FRW,001,2020-07-27_21h54.30.884,Fluency_Task,2020.1.2,Win32,60,space,16.88841,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3L2FPKRD46FRW,001,2020-07-27_21h54.30.884,Fluency_Task,2020.1.2,Win32,60,space,44.78299,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3L2FPKRD46FRW,001,2020-07-27_21h54.30.884,Fluency_Task,2020.1.2,Win32,60,space,16.713275,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3L2FPKRD46FRW,001,2020-07-27_21h54.30.884,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,18.270975,baker,banker,lawyer,bus driver,teacher,cashier,phone agent,insurance salesman,nurse,doctor,medical tech,tech supprt,writer,journalist,80,75,69,64,59,51,45,37,28,25,18,13,7,2,3,4.517905,I just thought about whatever job came to my mind,p,9.365215,0,0,0,7,1,Occupations,Semantic,p,,,,,,,,,,,,,,
,,,,,,A3L2FPKRD46FRW,001,2020-07-27_21h54.30.884,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,dog,cat,elephant,giraffe,seal,turtle,mouse,cat,hamster,panda,lion,tiger,bear,stingray,85,83,79,74,73,71,69,67,64,63,61,57,55,52,3,2.717055,I thought of whatever came to my mind and notated it.,j,1.727545,0,1,1,6,1,Animals,Semantic,j,monkey,zebra,horse,squirrel,aligator,eagle,raven,48,45,37,32,11,7,5
,,,,,,A3L2FPKRD46FRW,001,2020-07-27_21h54.30.884,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,acre,agent,area,ally,arrow,ant,ailment,arrand,axe,accident,avalanche,avion,attic,82,77,72,69,66,61,56,51,46,43,38,33,30,26,4,2.54703,I just thouht about words that start with the letter that came to my mind.,j,2.554225,0,2,2,4,1,Words that start with A,Phonemic,j,artist,almond,antler,aid,,,,22,17,11,5,,,
