consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET
0,0,0,0,1,Consent1.png,A3843S9LWPDN2K,001,2020-07-27_16h47.14.922,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3843S9LWPDN2K,001,2020-07-27_16h47.14.922,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3843S9LWPDN2K,001,2020-07-27_16h47.14.922,Fluency_Task,2020.1.2,Win32,60,space,1.368775,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3843S9LWPDN2K,001,2020-07-27_16h47.14.922,Fluency_Task,2020.1.2,Win32,60,space,7.12328,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3843S9LWPDN2K,001,2020-07-27_16h47.14.922,Fluency_Task,2020.1.2,Win32,60,space,3.552065,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3843S9LWPDN2K,001,2020-07-27_16h47.14.922,Fluency_Task,2020.1.2,Win32,60,space,15.22506,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3843S9LWPDN2K,001,2020-07-27_16h47.14.922,Fluency_Task,2020.1.2,Win32,60,space,9.51883,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3843S9LWPDN2K,001,2020-07-27_16h47.14.922,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,9.250865,stop,start,stain,set,step,smile,smirk,silly,soup,stand,sit,sock,sink,source,slime,swim,sink,store,stone,shirt,skirt,slack,swarm,smell,sine,sorcery,84,83,81,75,73,71,69,66,65,62,60,56,55,53,48,45,43,40,39,33,29,27,21,20,14,8,3,3.682585,"A word would pop into my head, and I'd try to think of a related word after it.",p,1.91343,0,0,0,5,1,Words that start with S,Phonemic,p
,,,,,,A3843S9LWPDN2K,001,2020-07-27_16h47.14.922,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,seats,desk,receptionist,elevator,stairs,pamphlets,televisions,people,suitcases,,,,,,,,,,,,,,,,,,82,80,76,74,71,65,56,48,30,,,,,,,,,,,,,,,,,,5,2.78265,I tried to imagine the last hotel I'd been in.,j,1.138,0,1,1,2,1,Things in a Hotel Lobby,Spatial,j
,,,,,,A3843S9LWPDN2K,001,2020-07-27_16h47.14.922,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,ant,amnesty,arm,aim,air,alfredo,atavistic,,,,,,,,,,,,,,,,,,,85,82,72,61,54,51,23,5,,,,,,,,,,,,,,,,,,,6,2.460125,Words popped into my head very slowly.,j,0.903805,0,2,2,4,1,Words that start with A,Phonemic,j
,,,,,,A3843S9LWPDN2K,001,2020-07-27_16h47.14.922,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,football,basketball,rugby,baseball,hockey,lacross,soccer,cricket,handball,mixed marial arts,,,,,,,,,,,,,,,,,83,81,79,77,69,65,62,53,47,9,,,,,,,,,,,,,,,,,5,2.52043,I thought about different video games I'd seen.,j,0.73092,0,3,3,8,1,Sports,Semantic,j
,,,,,,A3843S9LWPDN2K,001,2020-07-27_16h47.14.922,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,boat,tools,freezer,washing machine,dryer,motorcycle,jet ski,bicycle,scooter,trash can,,,,,,,,,,,,,,,,86,84,81,75,66,65,50,47,34,30,19,,,,,,,,,,,,,,,,5,3.678365,I thought about the things I've kept in the garage.,j,0.724935,0,4,4,0,1,Things in a Garage,Spatial,j
,,,,,,A3843S9LWPDN2K,001,2020-07-27_16h47.14.922,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cat,dog,elephant,monkey,bird,giraffe,rhino,lion,tiger,bear,wolf,mountain lion,coyote,racoon,,,,,,,,,,,,,86,85,83,81,79,73,66,65,63,62,59,48,44,33,,,,,,,,,,,,,4,2.573285,Words just popped into my head.,j,0.83345,0,5,5,6,1,Animals,Semantic,j
,,,,,,A3843S9LWPDN2K,001,2020-07-27_16h47.14.922,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,first,fast,finish,final,fate,fickle,fine,fish,fall,ferment,feckless,forsake,film,fork,filament,fortune,focus,fight,flash,form,friend,flick,fort,,,,86,85,83,82,79,75,74,70,68,64,57,53,45,43,39,36,32,29,24,19,17,11,8,,,,2,2.529295,Words just popped into my head.,p,0.866835,0,6,6,3,1,Words that start with F,Phonemic,p
,,,,,,A3843S9LWPDN2K,001,2020-07-27_16h47.14.922,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,gardener,lawyer,doctor,officer,dentist,veterinarian,clerk,bank teller,engineer,food scientist,diplomat,teacher,dispatcher,,,,,,,,,,,,,,86,84,82,76,72,68,63,54,47,38,26,23,12,,,,,,,,,,,,,,4,2.49718,I thought of the jobs of people I know.,p,0.765015,0,7,7,7,1,Occupations,Semantic,p
,,,,,,A3843S9LWPDN2K,001,2020-07-27_16h47.14.922,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,food,tables,chairs,servers,stoves,pots,pans,sinks,plates,knives,forks,spoons,glasses,,,,,,,,,,,,,,86,85,81,77,68,66,65,61,29,25,23,21,15,,,,,,,,,,,,,,6,2.04396,I tried to think of the things I've seen in restaurants.,p,0.748475,0,8,8,1,1,Things in a Restaurant,Spatial,p
