consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,rt_1,rt_2,rt_3,rt_4,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word3,word4,word5,word6,word7,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10
0,0,0,0,1,Consent1.png,A3F9QH7ODHGYUJ,001,2020-07-27_18h51.56.398,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3F9QH7ODHGYUJ,001,2020-07-27_18h51.56.398,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3F9QH7ODHGYUJ,001,2020-07-27_18h51.56.398,Fluency_Task,2020.1.2,Win32,60,space,2.840895,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3F9QH7ODHGYUJ,001,2020-07-27_18h51.56.398,Fluency_Task,2020.1.2,Win32,60,space,3.4364,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3F9QH7ODHGYUJ,001,2020-07-27_18h51.56.398,Fluency_Task,2020.1.2,Win32,60,space,18.38501,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3F9QH7ODHGYUJ,001,2020-07-27_18h51.56.398,Fluency_Task,2020.1.2,Win32,60,space,21.833625,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3F9QH7ODHGYUJ,001,2020-07-27_18h51.56.398,Fluency_Task,2020.1.2,Win32,60,space,14.56724,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3F9QH7ODHGYUJ,001,2020-07-27_18h51.56.398,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,2,98.06417,things in a garage,things in a garage,59,19,13,2,7,9.096965,Na,j,2.74978,0,0,0,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,
,,,,,,A3F9QH7ODHGYUJ,001,2020-07-27_18h51.56.398,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,animals,animals,83,69,65,56,6,5.40449,6,j,3.358665,0,1,1,6,1,Animals,Semantic,j,animal,animals,animals,animals,animals,53,48,41,23,14,5
,,,,,,A3F9QH7ODHGYUJ,001,2020-07-27_18h51.56.398,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,ali,ant,74,55,47,38,6,3.189765,,j,2.367695,0,2,2,4,1,Words that start with A,Phonemic,j,apple,angry,aunty,alien,,32,19,,,,
,,,,,,A3F9QH7ODHGYUJ,001,2020-07-27_18h51.56.398,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sun,simple,79,72,40,28,5,2.9939,,p,2.048455,0,3,3,5,1,Words that start with S,Phonemic,p,saturday,sing,star,,,9,,,,,
,,,,,,A3F9QH7ODHGYUJ,001,2020-07-27_18h51.56.398,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sports,sports,79,55,36,29,6,3.175545,,j,2.12279,0,4,4,8,1,Sports,Semantic,j,sports,sports,sports,,,13,,,,,
,,,,,,A3F9QH7ODHGYUJ,001,2020-07-27_18h51.56.398,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,occupations,occupations,74,52,26,2,6,3.829625,,p,1.98059,0,5,5,7,1,Occupations,Semantic,p,occupations,occupations,,,,,,,,,
,,,,,,A3F9QH7ODHGYUJ,001,2020-07-27_18h51.56.398,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,things in a hotel lobby,things in a hotel lobby,36,0,,,4,2.756645,,j,2.0999,0,6,6,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,
,,,,,,A3F9QH7ODHGYUJ,001,2020-07-27_18h51.56.398,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fish,first,82,67,52,35,5,5.495735,,p,2.45416,0,7,7,3,1,Words that start with F,Phonemic,p,friend,finger,fire,,,20,,,,,
,,,,,,A3F9QH7ODHGYUJ,001,2020-07-27_18h51.56.398,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,things in a restaurant,things in a restaurant,91,59,7,,6,4.63835,,p,1.89328,0,8,8,1,1,Things in a Restaurant,Spatial,p,,,,,,,,,,,
