consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26,rt_27,rt_28,rt_29,rt_30,rt_31,rt_32,rt_33,rt_34,rt_35,rt_36,rt_37,rt_38,rt_39,rt_40,rt_41,rt_42,rt_43,rt_44,rt_45,rt_46,rt_47,rt_48,rt_49,rt_50,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word27,word28,word29,word30,word31,word32,word33,word34,word35,word36,word37,word38,word39
0,0,0,0,1,Consent1.png,A3N17LYEE7484L,001,2020-07-27_19h48.00.178,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3N17LYEE7484L,001,2020-07-27_19h48.00.178,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3N17LYEE7484L,001,2020-07-27_19h48.00.178,Fluency_Task,2020.1.2,Win32,60,space,2,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3N17LYEE7484L,001,2020-07-27_19h48.00.178,Fluency_Task,2020.1.2,Win32,60,space,2.609,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3N17LYEE7484L,001,2020-07-27_19h48.00.178,Fluency_Task,2020.1.2,Win32,60,space,5.864,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3N17LYEE7484L,001,2020-07-27_19h48.00.178,Fluency_Task,2020.1.2,Win32,60,space,1.32,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3N17LYEE7484L,001,2020-07-27_19h48.00.178,Fluency_Task,2020.1.2,Win32,60,space,1.603,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3N17LYEE7484L,001,2020-07-27_19h48.00.178,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,245.641,k,k,k,k,k,k,k,k,ssss,s,s,s,s,s,s,s,ss,s,s,s    s,ss,s,s,s,s,s,83,78,77,76,76,76,75,75,75,75,75,74,74,74,74,73,73,73,69,69,69,66,66,65,65,65,65,64,64,63,63,63,63,60,60,59,59,59,58,58,57,57,57,57,56,56,56,56,55,55,6,10.53,66,6,0.147,0,0,0,5,1,Words that start with S,Phonemic,p,,,,,,,,,,,,,
,,,,,,A3N17LYEE7484L,001,2020-07-27_19h48.00.178,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,,,90,90,89,88,88,88,88,87,87,86,86,86,85,85,85,82,82,81,81,81,81,80,80,80,79,79,79,78,78,78,78,77,77,77,77,76,76,76,76,76,75,75,75,75,74,74,74,73,73,73,6,2.46,,j,3.218,0,1,1,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,
,,,,,,A3N17LYEE7484L,001,2020-07-27_19h48.00.178,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,j,j,j,j,j,j,j,j,j,j,j,j,j,j,j,j,j,j,j,j, , j,j,j,j,j,90,89,89,89,88,88,88,87,87,87,87,86,86,86,86,85,85,85,84,84,84,84,83,83,82,81,81,81,80,80,80,79,79,79,78,78,78,77,74,74,74,74,73,71,71,70,70,70,70,70,7,2.698,,7,0.193,0,2,2,8,1,Sports,Semantic,j,j,j,j,j,j,j,j,j,,,,,
