consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,rt_1,rt_2,rt_3
0,0,0,0,1,Consent1.png,,001,2020-11-25_00h27.24.739,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,,001,2020-11-25_00h27.24.739,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,001,2020-11-25_00h27.24.739,Fluency_Task,2020.1.2,Win32,60,space,1.77052,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,
,,,,,,,001,2020-11-25_00h27.24.739,Fluency_Task,2020.1.2,Win32,60,space,190.3384,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,
,,,,,,,001,2020-11-25_00h27.24.739,Fluency_Task,2020.1.2,Win32,60,space,1.177465,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,
,,,,,,,001,2020-11-25_00h27.24.739,Fluency_Task,2020.1.2,Win32,60,space,60.81253,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,
,,,,,,,001,2020-11-25_00h27.24.739,Fluency_Task,2020.1.2,Win32,60,space,6.87505,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,
,,,,,,,001,2020-11-25_00h27.24.739,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,1,18.56059,5,214.4266,,p,5.00614,0,0,0,5,1,Words that start with S,Phonemic,p,,,
,,,,,,,001,2020-11-25_00h27.24.739,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,6,4.292725,,return,1.014885,0,1,1,1,1,Things in a Restaurant,Spatial,p,,,
,,,,,,,001,2020-11-25_00h27.24.739,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,5,13.216745,,return,0.67747,0,2,2,0,1,Things in a Garage,Spatial,j,90,46,
,,,,,,,001,2020-11-25_00h27.24.739,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,4,27.22036,,return,0.52736,0,3,3,7,1,Occupations,Semantic,p,,,
,,,,,,,001,2020-11-25_00h27.24.739,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,5,70.573235,,return,62.39458,0,4,4,3,1,Words that start with F,Phonemic,p,90,90,82
,,,,,,,001,2020-11-25_00h27.24.739,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,6,69.41326,,return,1.293915,0,5,5,8,1,Sports,Semantic,j,,,
,,,,,,,001,2020-11-25_00h27.24.739,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,7,29.36276,,j,2.064675,0,6,6,6,1,Animals,Semantic,j,,,
,,,,,,,001,2020-11-25_00h27.24.739,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,5,63.36738,,j,1.733655,0,7,7,4,1,Words that start with A,Phonemic,j,90,13,
,,,,,,,001,2020-11-25_00h27.24.739,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,7,6.579375,,j,2.93121,0,8,8,2,1,Things in a Hotel Lobby,Spatial,j,91,88,20
