Category,Type,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,word1,word2,word3,word4,word5,word6,word7,rt_1,rt_2,rt_3,key_resp_diff.keys,key_resp_diff.rt,key_resp_diff.started,key_resp_diff.stopped,Strategy_resp,thank_you.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Sports,Semantic,,,,,0,0,0,8,14.735042622778565,None,tennis,basketball,baseball,,,,,2.8945693685673177,5.946820116601884,8.329973526299,3,0.765091345179826,27.905076342634857,None,sadasd,,,004,001,2020_Jun_29_1230,Word Fluency Task,2020.1.2,60.135079285884515,
Things in a garage,Spatial,,,,,0,1,1,0,,,car,toys,,,,,,2.5631374972872436,3.796377678401768,,5,3.5690784766338766,41.897691529709846,None,jhjh,,,004,001,2020_Jun_29_1230,Word Fluency Task,2020.1.2,60.135079285884515,
Words that start with S,Phonemic,,,,,0,2,2,5,,,fjhgfh,jhkjgjhg,jhgjhgjh,,,,,2.789283922407776,4.238652933388948,5.626450049690902,4,0.8796336641535163,58.886157128959894,None,jhgjhg,,,004,001,2020_Jun_29_1230,Word Fluency Task,2020.1.2,60.135079285884515,
Words that start with F,Phonemic,,,,,0,3,3,3,,,kjhkj,fgsdgs,,,,,,8.299004507251084,9.782767418306321,,3,0.26689400197938085,73.19038317864761,None,dsf,,,004,001,2020_Jun_29_1230,Word Fluency Task,2020.1.2,60.135079285884515,
Things in a kitchen,Spatial,,,,,0,4,4,2,,,sdfs,sdfs,sdfsd,,,,,3.114692017901689,4.244242313783616,5.561496263835579,3,1.121310462243855,86.99505403358489,None,dfsdf,,,004,001,2020_Jun_29_1230,Word Fluency Task,2020.1.2,60.135079285884515,
Animals,Semantic,,,,,0,5,5,6,,,asdaf,sdasd,gdfsfd,,,,,2.697512780316174,3.814636869356036,4.8619446866214275,4,3.336288336198777,101.63290633680299,None,jhgjh,,,004,001,2020_Jun_29_1230,Word Fluency Task,2020.1.2,60.135079285884515,
Words that start with A,Phonemic,,,,,0,6,6,4,,,kjhkjh,jhgjhg,,,,,,2.0272728567942977,3.0740287699736655,,3,4.313215916976333,118.48760052584112,None,kjhkj,,,004,001,2020_Jun_29_1230,Word Fluency Task,2020.1.2,60.135079285884515,
Things in a bedroom,Spatial,,,,,0,7,7,1,,,khghkjh,kjhkj,jhgjhg,,,,,2.833141090348363,4.2499055112712085,5.279215466231108,3,1.071504192892462,137.7271211189218,None,kjhkjh,,,004,001,2020_Jun_29_1230,Word Fluency Task,2020.1.2,60.135079285884515,
Occupations,Semantic,,,,,0,8,8,7,,,jgjhg,jhgjhg,jhgjhg,,,,,2.7157317218370736,3.829556178767234,4.912082572933286,3,5.072685856837779,152.61507315561175,None,kjhkjh,,,004,001,2020_Jun_29_1230,Word Fluency Task,2020.1.2,60.135079285884515,
,,,,,,,,,,,,,,,,,,,,,,,,,,,159.33447788702324,None,,,,,,,
