consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word6,word7,word8,rt_7,rt_8
0,0,0,0,1,Consent1.png,AVRP4VZBJED6I,001,2020-07-27_17h47.24.499,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,AVRP4VZBJED6I,001,2020-07-27_17h47.24.499,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h47.24.499,Fluency_Task,2020.1.2,Win32,60,space,1.312,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h47.24.499,Fluency_Task,2020.1.2,Win32,60,space,1.451,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h47.24.499,Fluency_Task,2020.1.2,Win32,60,space,1.48,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h47.24.499,Fluency_Task,2020.1.2,Win32,60,space,0.604,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h47.24.499,Fluency_Task,2020.1.2,Win32,60,space,0.682,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h47.24.499,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,1,3.4,sun,sweet,sugar,self,salt,86,82,80,77,72,4,5,1.359,easy,p,1.044,0,0,0,5,1,Words that start with S,Phonemic,p,,,,,
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h47.24.499,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fan,funny,flower,favorite,fire,87,84,80,75,73,71,7,1.252,easy,p,0.864,0,1,1,3,1,Words that start with F,Phonemic,p,friends,,,,
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h47.24.499,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,chair,table,juice,pizza,lights,85,82,78,75,72,68,3,0.35,good,p,0.902,0,2,2,1,1,Things in a Restaurant,Spatial,p,burger,salad,drinks,61,50
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h47.24.499,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,elephant,dog,graffi,lion,tiger,83,72,66,56,31,11,3,0.495,easy,j,1.157,0,3,3,6,1,Animals,Semantic,j,bear,,,,
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h47.24.499,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,finance,accounting,agriculture,software designers,fishering,87,83,78,57,51,47,3,0.372,good,p,1.015,0,4,4,7,1,Occupations,Semantic,p,banking,machine work,,35,
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h47.24.499,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,high quality,clean room,high cost,comfort feel,high quality bed,83,79,72,64,58,52,1,1.307,good,j,1.153,0,5,5,2,1,Things in a Hotel Lobby,Spatial,j,restaurant,food available,,39,
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h47.24.499,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,tennis,cricket,foot ball,soccer,hockey,85,79,73,67,58,46,1,0.632,good,j,1.53,0,6,6,8,1,Sports,Semantic,j,base  ball,,,,
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h47.24.499,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cans,paints,ladder,glows,mask,83,79,77,72,70,65,1,0.464,good,j,1.31,0,7,7,0,1,Things in a Garage,Spatial,j,table,oil,motors,20,14
,,,,,,AVRP4VZBJED6I,001,2020-07-27_17h47.24.499,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,animal,ant,art,air,allow,86,85,82,80,77,74,1,0.631,good,j,1.112,0,8,8,4,1,Words that start with A,Phonemic,j,affect,answer,area,71,67
