consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word22,word23,word24,word25,word26,word27,rt_22,rt_23,rt_24,rt_25,rt_26,rt_27
0,0,0,0,1,Consent1.png,A2DVJ6OMVVYTC7,001,2020-07-23_13h42.47.761,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A2DVJ6OMVVYTC7,001,2020-07-23_13h42.47.761,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2DVJ6OMVVYTC7,001,2020-07-23_13h42.47.761,Fluency_Task,2020.1.2,Win32,60,space,1.70781,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2DVJ6OMVVYTC7,001,2020-07-23_13h42.47.761,Fluency_Task,2020.1.2,Win32,60,space,10.160305,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2DVJ6OMVVYTC7,001,2020-07-23_13h42.47.761,Fluency_Task,2020.1.2,Win32,60,space,6.56341,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2DVJ6OMVVYTC7,001,2020-07-23_13h42.47.761,Fluency_Task,2020.1.2,Win32,60,space,17.104255,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2DVJ6OMVVYTC7,001,2020-07-23_13h42.47.761,Fluency_Task,2020.1.2,Win32,60,space,54.539395,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2DVJ6OMVVYTC7,001,2020-07-23_13h42.47.761,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,45.482365,dog,cat,alligator,fish,monkey,elephant,donkey,horse,zebra,snake,giraffe,rhino,whale,seal,walrus,dolphin,hipp,hippo,deer,tiger,lion,81,79,77,76,74,70,69,67,65,64,55,53,53,51,49,45,41,34,32,29,28,3,4.78641,I just thought about the most common animals I would see outdoors and then I started thinking about animals I saw at the zoo. ,j,2.66965,0,0,0,6,1,Animals,Semantic,j,,,,,,,,,,,,
,,,,,,A2DVJ6OMVVYTC7,001,2020-07-23_13h42.47.761,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,lawnmower,gas ,tools,car,bikes,coolers,sport equipment,,,,,,,,,,,,,,,83,79,74,71,66,54,40,,,,,,,,,,,,,,,3,2.35559,I thought about the items that are currently in my garage or that I would see in a mechanic shop. ,j,1.249125,0,1,1,0,1,Things in a garage,Spatial,j,,,,,,,,,,,,
,,,,,,A2DVJ6OMVVYTC7,001,2020-07-23_13h42.47.761,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,atlas,art,avalanche,ark,artic,anchor,acid,avid,after,animal,ant,avid,axe,abuse,anxious,adult,,,,,86,82,67,48,46,45,43,40,37,32,30,25,21,15,14,10,6,,,,,4,2.14656,I thought about all of the words that commonly come to mind and that I use occasionaly. ,j,1.39356,0,2,2,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,
,,,,,,A2DVJ6OMVVYTC7,001,2020-07-23_13h42.47.761,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sex,sanity,start,salt,self,silicone,similar,sister,simple,side,step,syringe,sugar,social,science,swag,sweeper,swipe,soft,sync,sarang,85,84,82,80,78,75,73,72,69,66,65,63,62,60,58,55,52,50,48,40,36,3,2.180595,I thought about all the words that came to my mind and the s was easy to start with than I started thinking about food.,p,1.295175,0,3,3,5,1,Words that start with S,Phonemic,p,sample,sandwich,sausage,sandals,song,sheets,32,30,28,25,19,10
,,,,,,A2DVJ6OMVVYTC7,001,2020-07-23_13h42.47.761,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,foolish,fool,fox,fix,flock,flourish,flour,flower,flamingo,fat,famine,false,freak,freeze,,,,,,,,69,68,66,62,58,56,55,54,46,42,39,37,35,31,,,,,,,,4,3.092145,I picked the words that I thought were the simplest words that started with f. ,p,1.09852,0,4,4,3,1,Words that start with F,Phonemic,p,,,,,,,,,,,,
,,,,,,A2DVJ6OMVVYTC7,001,2020-07-23_13h42.47.761,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,lawyer,agent,conducter,cook,chef,owner,entertainer,teacher,professor,,,,,,,,,,,,,84,81,78,74,73,70,66,62,60,,,,,,,,,,,,,3,1.85952,I thought about the most common jobs that people have. ,p,0.88923,0,5,5,7,1,Occupations,Semantic,p,,,,,,,,,,,,
,,,,,,A2DVJ6OMVVYTC7,001,2020-07-23_13h42.47.761,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sheets,bed,lamp,knightstand,blanket,pillow,,,,,,,,,,,,,,,,87,86,83,75,73,71,,,,,,,,,,,,,,,,6,4.892935,I thought about what was in my own bedroom and wrote it down. ,p,1.174315,0,6,6,1,1,Things in a bedroom,Spatial,p,,,,,,,,,,,,
,,,,,,A2DVJ6OMVVYTC7,001,2020-07-23_13h42.47.761,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,knives,stove,fridge,oven,cutlery,spoons,forks,microwave,toaster,,,,,,,,,,,,,86,85,84,82,79,78,76,69,68,,,,,,,,,,,,,5,4.13928,I thought about the big appliance first and then the smaller things in the kitchen.,j,1.535495,0,7,7,2,1,Things in a kitchen,Spatial,j,,,,,,,,,,,,
,,,,,,A2DVJ6OMVVYTC7,001,2020-07-23_13h42.47.761,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,mma,boxing,football,baseball,basketball,hockey,golf,lacrosse,nascar,racing,,,,,,,,,,,,87,82,80,79,76,74,73,71,69,67,,,,,,,,,,,,6,6.8786,I thought about the most popular sports first and then my favorites ,j,1.235505,0,8,8,8,1,Sports,Semantic,j,,,,,,,,,,,,
