consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word15,word16,word17,word18,word19,rt_15,rt_16,rt_17,rt_18,rt_19,word20,word21,word22,word23,word24,rt_20,rt_21,rt_22,rt_23,rt_24
0,0,0,0,1,Consent1.png,A314XJY8V1YL12,001,2020-07-27_20h45.18.061,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A314XJY8V1YL12,001,2020-07-27_20h45.18.061,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A314XJY8V1YL12,001,2020-07-27_20h45.18.061,Fluency_Task,2020.1.2,Win32,60,space,1.648,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A314XJY8V1YL12,001,2020-07-27_20h45.18.061,Fluency_Task,2020.1.2,Win32,60,space,9.436,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A314XJY8V1YL12,001,2020-07-27_20h45.18.061,Fluency_Task,2020.1.2,Win32,60,space,4.868,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A314XJY8V1YL12,001,2020-07-27_20h45.18.061,Fluency_Task,2020.1.2,Win32,60,space,23.97,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A314XJY8V1YL12,001,2020-07-27_20h45.18.061,Fluency_Task,2020.1.2,Win32,60,space,13.075,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A314XJY8V1YL12,001,2020-07-27_20h45.18.061,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,7.943,coffee,chairs,bar,desk,elevators,bags,plants,vending machines,people,computers,magazines,travel brochers,cookies,rug,81,77,74,71,65,58,55,48,38,32,25,15,10,2,5,3.626,"I tried to imaging myself in the lobby, looking around at what is present.",j,3.134,0,0,0,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,,,,,,,,,,
,,,,,,A314XJY8V1YL12,001,2020-07-27_20h45.18.061,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,tables,chairs,waiters,water glasses,wine,plates,food,bar,forks,knives,spoons,cups,liquor,beer,85,83,81,76,74,72,70,67,55,52,50,46,42,39,3,1.955,I pictured myself inside the restaurant looking around.,p,6.178,0,1,1,1,1,Things in a Restaurant,Spatial,p,menu,napkins,salad bar,specials,desk,29,25,17,7,0,,,,,,,,,,
,,,,,,A314XJY8V1YL12,001,2020-07-27_20h45.18.061,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sleep,seeds,steak,socks,salad,soup,steam,stacks,stocks,stands,superintendant,suits,suitcase,sap,85,82,79,76,67,64,60,48,45,39,29,23,20,14,6,1.824,I just tried to picture items that start with the letter s.,p,4.303,0,2,2,5,1,Words that start with S,Phonemic,p,summons,,,,,0,,,,,,,,,,,,,,
,,,,,,A314XJY8V1YL12,001,2020-07-27_20h45.18.061,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,soccer,basball,basketball,football,hocky,tennis,boxing,fencing,horse racing,track,rugby,cricket,squash,volleyball,87,84,79,76,73,70,65,61,56,50,37,34,31,24,2,3.057,I thought of sports that I know and of sports that are in the olympics.,j,1.886,0,3,3,8,1,Sports,Semantic,j,water polo,swimming,diving,gymnastics,,21,17,11,3,,,,,,,,,,,
,,,,,,A314XJY8V1YL12,001,2020-07-27_20h45.18.061,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,ant,ark,anvil,aggressive,ardvark,any,and,antelope,,,,,,85,82,79,65,44,26,19,17,9,,,,,,6,1.578,I tried to remember words that start with a.,j,1.621,0,4,4,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,,,,,,,,,
,,,,,,A314XJY8V1YL12,001,2020-07-27_20h45.18.061,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,foot,free,feminine,flexible,food,football,fleet,feed,from,flip,fix,flea,flood,,87,82,78,73,71,64,56,52,43,40,20,12,2,,5,1.774,I tried to think of words starting with f.,p,2.19,0,5,5,3,1,Words that start with F,Phonemic,p,,,,,,,,,,,,,,,,,,,,
,,,,,,A314XJY8V1YL12,001,2020-07-27_20h45.18.061,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,teacher,doctor,lawyer,ceo,carpenter,builder,policeman,fireman,researcher,cashier,waiter,writer,hairdresser,accountant,85,83,81,79,76,72,68,66,61,57,55,49,44,36,4,4.202,I tried to think of all the jobs that I know of.,p,1.5,0,6,6,7,1,Occupations,Semantic,p,judge,,,,,29,,,,,,,,,,,,,,
,,,,,,A314XJY8V1YL12,001,2020-07-27_20h45.18.061,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cat,dog,horse,cow,rabbit,rat,mouse,cheeta,elephant,tiger,deer,bear,wolf,fox,87,85,82,81,78,77,75,73,66,64,62,52,50,46,2,1.668,I thought of all of the animals that I could.,j,2.404,0,7,7,6,1,Animals,Semantic,j,leopard,panda,mule,goat,sheep,41,36,31,28,26,guinea pig,pig,bison,elk,racoon,20,17,8,5,0
,,,,,,A314XJY8V1YL12,001,2020-07-27_20h45.18.061,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,oil,rags,boxes,wrench,tire,jack,paint,bolts,racks,tool box,,,,87,86,84,82,77,71,67,58,42,24,11,,,,6,2.045,I thought of being in a garage and looking around.,j,1.418,0,8,8,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,,,,,
