consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word16,word17,rt_16,rt_17,word18,word19,word20,word21,rt_18,rt_19,rt_20,rt_21,word22,word23,word24,rt_22,rt_23,rt_24
0,0,0,0,1,Consent1.png,A1KLWHCGSS8WXD,001,2020-07-27_19h39.16.188,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A1KLWHCGSS8WXD,001,2020-07-27_19h39.16.188,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1KLWHCGSS8WXD,001,2020-07-27_19h39.16.188,Fluency_Task,2020.1.2,Win32,60,space,2.562,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1KLWHCGSS8WXD,001,2020-07-27_19h39.16.188,Fluency_Task,2020.1.2,Win32,60,space,16.118,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1KLWHCGSS8WXD,001,2020-07-27_19h39.16.188,Fluency_Task,2020.1.2,Win32,60,space,13.603,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1KLWHCGSS8WXD,001,2020-07-27_19h39.16.188,Fluency_Task,2020.1.2,Win32,60,space,25.374,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1KLWHCGSS8WXD,001,2020-07-27_19h39.16.188,Fluency_Task,2020.1.2,Win32,60,space,17.253,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1KLWHCGSS8WXD,001,2020-07-27_19h39.16.188,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,13.547,baseball,football,basketball,hockey,golf,soccer,field hockey,softball,track,swimming,cheerleading,dance,hunting,fishing,rugby,82,79,75,72,68,62,55,50,46,37,33,26,20,17,9,3,8.197,I started with sports we had in school and went from there.,j,7.34,0,0,0,8,1,Sports,Semantic,j,,,,,,,,,,,,,,,,,,
,,,,,,A1KLWHCGSS8WXD,001,2020-07-27_19h39.16.188,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,bus driver,banker,baker,manufacturer,house keeper,pet sitter,assistant,actor,doctor,lawer,plumber,security officer,cop,fireman,retail worker,83,80,76,70,63,59,54,51,49,47,43,37,35,30,21,5,7.48,I thought of random occupations.,p,1.497,0,1,1,7,1,Occupations,Semantic,p,waiter,driver,17,7,,,,,,,,,,,,,,
,,,,,,A1KLWHCGSS8WXD,001,2020-07-27_19h39.16.188,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,truck,tools,shelves,boxes,sports equipment,camping gear,fishing gear,motorcycle,boat,snow mobile,dirt bike,four wheeler,,,84,82,80,77,72,60,54,42,30,28,22,18,15,,,5,4.193,I thought of things I've seen in garages.,j,1.703,0,2,2,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,,,
,,,,,,A1KLWHCGSS8WXD,001,2020-07-27_19h39.16.188,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,tabes,tables,waitress,silver ware,plates,cups,food,money,table cloth,drinks,lights,decorations,straws,salt and pepper shakers,bathrooms,85,81,78,73,66,64,61,58,53,46,40,37,32,22,7,5,3.311,"I  imagined a restaurant,",p,1.57,0,3,3,1,1,Things in a Restaurant,Spatial,p,,,,,,,,,,,,,,,,,,
,,,,,,A1KLWHCGSS8WXD,001,2020-07-27_19h39.16.188,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,smile,sick,smell,shell,start,sing,sat,share,shoot,stare,slice,scare,sack,sill,still,86,84,82,80,78,75,71,62,60,58,53,43,34,32,29,4,2.859,random words,p,1.321,0,4,4,5,1,Words that start with S,Phonemic,p,sour,sweet,23,21,style,sway,soar,side,16,12,8,3,,,,,,
,,,,,,A1KLWHCGSS8WXD,001,2020-07-27_19h39.16.188,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,octopus,cat,dog,monkey,owl,mouse,ferret,lion,tiger,bear,deer,moose,squirrel,chipmunk,crow,85,84,83,80,79,77,71,67,65,61,59,56,50,47,44,3,4.408,I thought of favorites and local wildlife. ,j,1.673,0,5,5,6,1,Animals,Semantic,j,eagle,flamingo,40,36,hippo,aligator,iguana,guinea pig,32,29,24,20,hampster,rat,chinchilla,15,11,7
,,,,,,A1KLWHCGSS8WXD,001,2020-07-27_19h39.16.188,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,counter,carpet,concierge,chairs,doors,windows,elevator,stairs,security guard,chandelier,brochures,pens,phone,computer,keys,80,78,75,68,65,63,58,54,47,39,29,23,18,14,5,4,2.561,I imagined different hotel lobbies.,j,1.798,0,6,6,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,,,,,,,,
