consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word17,word18,word19,word20,word21,word22,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,word23,rt_23,word24,word25,rt_24,rt_25
0,0,0,0,1,Consent1.png,AE87K978IXPYP,001,2020-07-27_17h07.18.193,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,AE87K978IXPYP,001,2020-07-27_17h07.18.193,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AE87K978IXPYP,001,2020-07-27_17h07.18.193,Fluency_Task,2020.1.2,Win32,60,space,0.809,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AE87K978IXPYP,001,2020-07-27_17h07.18.193,Fluency_Task,2020.1.2,Win32,60,space,5.644,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AE87K978IXPYP,001,2020-07-27_17h07.18.193,Fluency_Task,2020.1.2,Win32,60,space,0.859,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AE87K978IXPYP,001,2020-07-27_17h07.18.193,Fluency_Task,2020.1.2,Win32,60,space,6.732,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AE87K978IXPYP,001,2020-07-27_17h07.18.193,Fluency_Task,2020.1.2,Win32,60,space,2.984,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AE87K978IXPYP,001,2020-07-27_17h07.18.193,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,2.537,car,shelves,lawnmower,snowblower,rake,shovel,boxes,trash can,paint,leafblower,wood,saw,tablesaw,workbench,tools,bike,87,83,80,77,74,70,67,59,54,47,30,23,22,12,10,6,5,2.277,I just imagined a garage and what I would put in it.,j,1.529,0,0,0,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,,,
,,,,,,AE87K978IXPYP,001,2020-07-27_17h07.18.193,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,baseball,soccer,lacrosse,teeball,softball, polo,water polo,equestrian,horse racing,football,handball,tennis,racquetball,jai alai,swimming,diving,86,84,82,79,77,75,73,67,61,60,47,46,43,39,33,31,5,1.284,I just thought about whatever sports came to mind,j,1.182,0,1,1,8,1,Sports,Semantic,j,gymnastics,shotput,hunting,fishing,car racing,biking,29,26,15,13,6,1,,,,,,
,,,,,,AE87K978IXPYP,001,2020-07-27_17h07.18.193,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,aether,arachnid,are,area,apostrophe,apostle,amenable,able,alone,allow,abalone,awe,ardor,arbor,arc,axe,86,81,79,78,71,68,65,61,58,57,54,51,46,44,39,37,2,2.429,Just typed in 'a' and a random character after wards to see what words came to mind,j,0.747,0,2,2,4,1,Words that start with A,Phonemic,j,ajar,aground,avenue,aioli,assert,,31,28,24,17,6,,,,,,,
,,,,,,AE87K978IXPYP,001,2020-07-27_17h07.18.193,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,snake,tiger,monkey,rat,mouse,doh,cat,rabbit,deer,gorilla,possum,fox,armadillo,penguin,bear,kangaroo,86,84,82,82,81,79,78,71,69,66,61,51,27,20,19,15,5,1.279,Just typed in a random letter and whatever came to mind,j,0.667,0,3,3,6,1,Animals,Semantic,j,jackalope,,,,,,10,,,,,,,,,,,
,,,,,,AE87K978IXPYP,001,2020-07-27_17h07.18.193,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sofa,coffee table,reception ,television,rugs,lamps,telephone,receptionist,luggage,visitors,guest,,,,,,86,83,81,78,78,75,73,65,40,37,35,,,,,,7,0.449,Imagined a hotel lobby and what could be going on it in,j,0.863,0,4,4,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,,,,,,,,
,,,,,,AE87K978IXPYP,001,2020-07-27_17h07.18.193,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,engineer,receptionist,teacher,scientist,marketer,construction worker,nurse,doctor,warehouse worker,seamstress,tailor,shoemaker,farmer,entrepreneur,manager,dock worker,86,84,82,78,72,67,66,65,55,48,46,43,41,35,33,26,5,0.985,"whatever came to mind, no particular strategy",p,0.668,0,5,5,7,1,Occupations,Semantic,p,plumber,electrician,cashier,,,,20,18,14,,,,,,,,,
,,,,,,AE87K978IXPYP,001,2020-07-27_17h07.18.193,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,ferret,fjord,floor,favorite,father,fat,farther,fervor,for,forever,fur,fecund,fever,five,fit,fun,87,85,83,77,76,75,72,66,65,61,57,52,49,42,39,34,2,0.978,Just typed in F and and random letter and see what came to mind,p,0.613,0,6,6,3,1,Words that start with F,Phonemic,p,fine,fin,finish,flower,flow,flour,28,27,23,19,17,10,finite,4,,,,
,,,,,,AE87K978IXPYP,001,2020-07-27_17h07.18.193,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,science,serial,sfe,safe,safari,sour,soil,sold,sole,solo,solution,spoon,spin,span,spanish,savor,86,80,76,75,73,71,68,65,64,60,57,53,50,49,46,41,2,1.164,typed in 's' and a random letter and see what fits,p,0.602,0,7,7,5,1,Words that start with S,Phonemic,p,save,savior,switch,swat,scour,sucrose,39,35,29,28,23,17,sugar,16,square,stain,9,3
,,,,,,AE87K978IXPYP,001,2020-07-27_17h07.18.193,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,spoo,folk,knife,waiter,chef,manager,money,plate,food,decor,table,windows,pans,pots,ovens,dishwasher,85,83,79,78,76,73,70,69,67,65,64,62,57,57,54,49,2,1.188,Just thought about a restaurant and what would go in it,p,0.668,0,8,8,1,1,Things in a Restaurant,Spatial,p,water,soap,oil,salt,sugar,,47,46,45,43,42,,,,,,,
