consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,rt_1,rt_2,rt_3,rt_4,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word5,word6,word7,word8,word9,rt_5,rt_6,rt_7,rt_8,rt_9,word10,word11,word12,rt_10,rt_11,rt_12
0,0,0,0,1,Consent1.png,A1RJOM9DINV6VY,001,2020-07-23_11h15.06.409,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A1RJOM9DINV6VY,001,2020-07-23_11h15.06.409,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1RJOM9DINV6VY,001,2020-07-23_11h15.06.409,Fluency_Task,2020.1.2,Win32,60,space,3.183495,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1RJOM9DINV6VY,001,2020-07-23_11h15.06.409,Fluency_Task,2020.1.2,Win32,60,space,49.71468,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1RJOM9DINV6VY,001,2020-07-23_11h15.06.409,Fluency_Task,2020.1.2,Win32,60,space,14.604115,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1RJOM9DINV6VY,001,2020-07-23_11h15.06.409,Fluency_Task,2020.1.2,Win32,60,space,13.040115,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1RJOM9DINV6VY,001,2020-07-23_11h15.06.409,Fluency_Task,2020.1.2,Win32,60,space,0.074245,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1RJOM9DINV6VY,001,2020-07-23_11h15.06.409,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,4,17.35962,apple,appearence ,air,aeroplane,67,42,30,7,6,11.70023, ,j,4.31915,0,0,0,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,,,,,
,,,,,,A1RJOM9DINV6VY,001,2020-07-23_11h15.06.409,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,dog ,cat,monkey,elepant,78,75,65,54,7,6.813605, ,j,2.010605,0,1,1,6,1,Animals,Semantic,j,goat,cow,rabbit,horse,pig,46,32,27,19,4,,,,,,
,,,,,,A1RJOM9DINV6VY,001,2020-07-23_11h15.06.409,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,doctor,police,army,engineer,57,51,45,9,5,3.402185,,p,1.685355,0,2,2,7,1,Occupations,Semantic,p,manager,,,,,1,,,,,,,,,,
,,,,,,A1RJOM9DINV6VY,001,2020-07-23_11h15.06.409,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,saalt,sparrow,spoon,sperms,80,70,65,58,7,2.938795,,p,1.23484,0,3,3,5,1,Words that start with S,Phonemic,p,spellings,sleep,slipper,sound,sun,51,44,39,33,27,sandwich,sand,sunday,14,8,1
,,,,,,A1RJOM9DINV6VY,001,2020-07-23_11h15.06.409,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,bike,car,bicycle,motor,35,33,13,7,7,5.327805,,j,1.712195,0,4,4,0,1,Things in a garage,Spatial,j,,,,,,,,,,,,,,,,
,,,,,,A1RJOM9DINV6VY,001,2020-07-23_11h15.06.409,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fan,fun,function,fuck,84,80,76,73,1,2.16023,,p,1.701335,0,5,5,3,1,Words that start with F,Phonemic,p,fungus,fool,frog,food,fish,63,56,50,43,17,flower,,,6,,
,,,,,,A1RJOM9DINV6VY,001,2020-07-23_11h15.06.409,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,spoon,sink,plates,bowl,83,77,76,36,3,2.28249,,j,1.81856,0,6,6,2,1,Things in a kitchen,Spatial,j,teapot,fork,frying pan,knife,,31,22,16,7,2,,,,,,
,,,,,,A1RJOM9DINV6VY,001,2020-07-23_11h15.06.409,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,bed,lap,pillow,fan,73,69,61,58,2,1.95147,,p,1.36253,0,7,7,1,1,Things in a bedroom,Spatial,p,light,clock,dressing table,air conditioner,tv,48,43,30,7,1,,,,,,
,,,,,,A1RJOM9DINV6VY,001,2020-07-23_11h15.06.409,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cricket,badminton,boxing,hockey,36,27,22,13,4,2.89348,,j,2.01327,0,8,8,8,1,Sports,Semantic,j,baseball,,,,,4,,,,,,,,,,
