consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word16,word17,rt_16,rt_17
0,0,0,0,1,Consent1.png,A1Y96P03BYENLS,001,2020-07-27_14h17.18.169,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A1Y96P03BYENLS,001,2020-07-27_14h17.18.169,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1Y96P03BYENLS,001,2020-07-27_14h17.18.169,Fluency_Task,2020.1.2,Win32,60,space,0.939,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1Y96P03BYENLS,001,2020-07-27_14h17.18.169,Fluency_Task,2020.1.2,Win32,60,space,0.564,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1Y96P03BYENLS,001,2020-07-27_14h17.18.169,Fluency_Task,2020.1.2,Win32,60,space,0.266,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1Y96P03BYENLS,001,2020-07-27_14h17.18.169,Fluency_Task,2020.1.2,Win32,60,space,0.196,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1Y96P03BYENLS,001,2020-07-27_14h17.18.169,Fluency_Task,2020.1.2,Win32,60,space,0.147,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1Y96P03BYENLS,001,2020-07-27_14h17.18.169,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,1,2.903,small    ,song,shight,slide,shock,size,song,sweet,some,same,sum,sun,slide,sweeter,swipe,78,72,62,58,49,44,42,39,36,34,33,22,17,10,1,6,4.488,,p,1.95,0,0,0,5,1,Words that start with S,Phonemic,p,,,,
,,,,,,A1Y96P03BYENLS,001,2020-07-27_14h17.18.169,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sales manager,finance,police,healthcare,marketing,accounter,triver,watch men,,,,,,,,80,73,67,63,49,40,24,6,,,,,,,,7,6.041, ,p,1.887,0,1,1,7,1,Occupations,Semantic,p,,,,
,,,,,,A1Y96P03BYENLS,001,2020-07-27_14h17.18.169,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,ant,among,amazon,animal,account,and,an,are,airplan,airport,aid,add,aqua,any,86,85,83,78,75,70,68,67,63,60,57,46,44,40,28,3,3.916,,i,3.505,0,2,2,4,1,Words that start with A,Phonemic,j,always,all,25,12
,,,,,,A1Y96P03BYENLS,001,2020-07-27_14h17.18.169,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,good foods,nice place,bizza is awasome,favourable place,burker,fruites,cakes,meals,meats,,,,,,,78,70,61,58,57,43,21,15,11,7,2,,,,,4,3.581,,p,2.515,0,3,3,1,1,Things in a Restaurant,Spatial,p,,,,
,,,,,,A1Y96P03BYENLS,001,2020-07-27_14h17.18.169,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fih,fan,five star,fish,five,fig,foods,fool,fruits,fun,full,fush,,,,84,82,78,71,54,46,42,36,17,13,10,6,,,,5,4.528,   ,p,1.298,0,4,4,3,1,Words that start with F,Phonemic,p,,,,
,,,,,,A1Y96P03BYENLS,001,2020-07-27_14h17.18.169,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cricket,football,basket ball,car drive,driving,athlatics,,,,,,,,,,85,81,74,64,60,28,-78,,,,,,,,,5,41.056,,j,3.698,0,5,5,8,1,Sports,Semantic,j,,,,
,,,,,,A1Y96P03BYENLS,001,2020-07-27_14h17.18.169,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,tools,foods, fool,,,,,,,,,,,,,62,49,3,,,,,,,,,,,,,5,2.677, ,j,2.068,0,6,6,0,1,Things in a Garage,Spatial,j,,,,
