consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word1,word2,word3,word4,word5,word6,word7,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,word8,word9,word10,word11,word12,word13,word14,word15,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,word16,word17,word18,word19,word20,word21,word22,word23,word24,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24
0,0,0,0,1,Consent1.png,A2L0JF7SH0Q8AB,001,2020-07-27_19h45.45.777,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A2L0JF7SH0Q8AB,001,2020-07-27_19h45.45.777,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2L0JF7SH0Q8AB,001,2020-07-27_19h45.45.777,Fluency_Task,2020.1.2,MacIntel,60,space,1.579,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2L0JF7SH0Q8AB,001,2020-07-27_19h45.45.777,Fluency_Task,2020.1.2,MacIntel,60,space,8.086,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2L0JF7SH0Q8AB,001,2020-07-27_19h45.45.777,Fluency_Task,2020.1.2,MacIntel,60,space,3.61,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2L0JF7SH0Q8AB,001,2020-07-27_19h45.45.777,Fluency_Task,2020.1.2,MacIntel,60,space,13.67,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2L0JF7SH0Q8AB,001,2020-07-27_19h45.45.777,Fluency_Task,2020.1.2,MacIntel,60,space,7.876,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2L0JF7SH0Q8AB,001,2020-07-27_19h45.45.777,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,3,3.945,5,4.793,mostly looked around my keyboardat the letters,p,1.894,0,0,0,3,1,Words that start with F,Phonemic,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2L0JF7SH0Q8AB,001,2020-07-27_19h45.45.777,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,7,3.032,"i pictured myself looking around my garage. also, apologies, i was pressing spacebar instead of enter after some words",j,1.704,0,1,1,0,1,Things in a Garage,Spatial,j,shovel boxes ,car,hoe,lawn mower,gas,tires,fan,90,79,69,57,39,14,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2L0JF7SH0Q8AB,001,2020-07-27_19h45.45.777,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,5,2.673,"looked around my keyboard, some letters i typed in previous words jogged my memory e.g. the ll in 'sell' making me think of 'stall'",p,1.188,0,2,2,5,1,Words that start with S,Phonemic,p,sun,shovel,sauna,secret,so,shower,sell,77,75,73,72,71,68,61,60,stall,super,serendipity,sonic,supreme,snail,smell,snoop,58,53,47,44,12,10,1,,,,,,,,,,,,,,,,,,
,,,,,,A2L0JF7SH0Q8AB,001,2020-07-27_19h45.45.777,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,5,4.636,pictured myself looking through the job listings on indeed,p,1.106,0,3,3,7,1,Occupations,Semantic,p,firefighter,police officer,administrative assistant,ceo,doctor,nurse,athlete,91,84,82,76,75,64,63,58,physiotherapist,psychiatrist,teacher,sales associate,tutor,cab driver,waitress,bartender,53,50,47,39,29,10,5,2,,,,,,,,,,,,,,,,,
,,,,,,A2L0JF7SH0Q8AB,001,2020-07-27_19h45.45.777,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,4,0.791,"first i thought of all the pets i had, then whatever came to mind, sometimes based on geographic areas/species relatedness, e.g. ants made me think of spiders",j,0.943,0,4,4,6,1,Animals,Semantic,j,guinea pig,cat,dog,hamster,bird,rabbit,fish,85,84,83,81,81,78,76,74,panda,kangaroo,lion,cougar,snail,ant,spider,mosquito,68,67,64,56,55,53,42,29,chipmunk,squirrel,bee,shark,whale,frog,toad,fly,beaver,27,23,19,18,14,13,9,3
,,,,,,A2L0JF7SH0Q8AB,001,2020-07-27_19h45.45.777,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,4,0.935,"i thought of items in categories, such as all the cutlery",p,0.977,0,5,5,1,1,Things in a Restaurant,Spatial,p,knife,fork,spoon,cup,plate,food,water,86,85,83,80,77,72,71,69,alcohol,soda,juice,apron,sink,table,chair,menu,66,63,59,57,52,51,47,38,cash,debit machine,cash register,bowl,phone,napkin,candle,,,36,32,23,18,11,5,,
,,,,,,A2L0JF7SH0Q8AB,001,2020-07-27_19h45.45.777,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,5,1.346,"i thought of the major sports leagues, then olympic sports",j,1.068,0,6,6,8,1,Sports,Semantic,j,basketball,baseball,hockey,lacrosse,soccer,football,rugby,86,84,82,79,72,71,67,65,badminton,tennis,swimming,track and field,table tennis,diving,figure skating,skiing,61,54,50,35,30,27,25,23,snowboarding,bobsledding,speed skating,volleyball,,,,,,19,9,3,,,,,
,,,,,,A2L0JF7SH0Q8AB,001,2020-07-27_19h45.45.777,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,6,3.513,pictured myself in a hotel lobby,j,0.977,0,7,7,2,1,Things in a Hotel Lobby,Spatial,j,counter,paper,pen,phone,chair,table,light,86,85,83,82,81,79,74,72,rug,floor,people,keys,coats,shoes,gloves,hats,70,63,52,41,25,23,22,1,debit machine,,,,,,,,,,,,,,,,
,,,,,,A2L0JF7SH0Q8AB,001,2020-07-27_19h45.45.777,Fluency_Task,2020.1.2,MacIntel,60,,,,,,,,,,,4,2.16,"just kept looking at my keyboard, using the letters to jog my memory",j,0.996,0,8,8,4,1,Words that start with A,Phonemic,j,alphabet,able,act,allegory,ant,animal,angle,83,79,77,74,71,69,68,65,apple,allow,are,awesome,avast,ape,ache,aptitude,62,56,52,47,43,39,32,23,arrive,ace,avenue,acorn,amp,,,,,16,13,9,5,,,,
