consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET
0,0,0,0,1,Consent1.png,A1SMTVHEJZMGAN,001,2020-07-23_14h31.54.852,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A1SMTVHEJZMGAN,001,2020-07-23_14h31.54.852,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1SMTVHEJZMGAN,001,2020-07-23_14h31.54.852,Fluency_Task,2020.1.2,Win32,60,space,3.6059,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1SMTVHEJZMGAN,001,2020-07-23_14h31.54.852,Fluency_Task,2020.1.2,Win32,60,space,22.035825,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1SMTVHEJZMGAN,001,2020-07-23_14h31.54.852,Fluency_Task,2020.1.2,Win32,60,space,24.799095,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1SMTVHEJZMGAN,001,2020-07-23_14h31.54.852,Fluency_Task,2020.1.2,Win32,60,space,3.473255,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1SMTVHEJZMGAN,001,2020-07-23_14h31.54.852,Fluency_Task,2020.1.2,Win32,60,space,31.213355,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1SMTVHEJZMGAN,001,2020-07-23_14h31.54.852,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,25.709545,friends,fake,fruits,flop,feelings,fish,flirt,fight,fall,family,feed,82,79,72,68,63,60,56,50,46,40,36,25,20,4,9.40946,,p,4.56152,0,0,0,3,1,Words that start with F,Phonemic,p
,,,,,,A1SMTVHEJZMGAN,001,2020-07-23_14h31.54.852,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,lamp,fan,bed,table,flowers,pillow,,,,,,78,76,74,64,60,49,,,,,,,,6,3.884985,"it  is not at all difficult because every one know what is inside the bedroom. and the letter  F have lots of words, i gave some basic and easy words.",p,1.95836,0,1,1,1,1,Things in a bedroom,Spatial,p
,,,,,,A1SMTVHEJZMGAN,001,2020-07-23_14h31.54.852,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,stove,utilities,salt ,water,incredients,mixie,grinder,vessels,,,,83,69,57,52,40,30,26,7,,,,,,6,2.534525,"it is easy find some words related to kitchen. and i found some things available in kitchen. i am not intrest to cook something so, i don't know about every thing inside the kitchen.",j,2.80171,0,2,2,2,1,Things in a kitchen,Spatial,j
,,,,,,A1SMTVHEJZMGAN,001,2020-07-23_14h31.54.852,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,tools,motor oils,old parts of motor,grees,dust,,,,,,,44,31,20,16,5,,,,,,,,,5,2.426615,it was somrthing hard to find me.,j,1.865555,0,3,3,0,1,Things in a garage,Spatial,j
